,date,one_rep_max,mean_reps,routine,completion_rate,total_volume,max_weight,workout_day,primary_lift,days_since_last_workout,days_since_last_workout_day,weekday,age,bodyweight
17,2014-08-07,1.2,4.666666666666667,n/a,1.0,14.0,1.0,Back,Pull Up,8 days 00:00:00.000000000,8 days 00:00:00.000000000,Thursday,19,
18,2014-08-08,220.0,4.333333333333333,n/a,1.0,4260.0,165.0,Chest,Seated Machine Fly,1 days 00:00:00.000000000,12 days 00:00:00.000000000,Friday,19,
19,2014-08-14,86.66666666666667,7.833333333333333,n/a,1.0,1967.0,65.0,Back,Dumbbell Row,6 days 00:00:00.000000000,7 days 00:00:00.000000000,Thursday,19,
20,2014-08-15,46.666666666666664,6.8,n/a,1.0,1130.0,35.0,Shoulders,Dumbbell Shoulder Press,1 days 00:00:00.000000000,0 days 00:00:00.000000000,Friday,19,
21,2014-08-17,120.0,13.066666666666666,n/a,1.0,14030.0,80.0,Chest,Flat Dumbbell Bench Press,2 days 00:00:00.000000000,9 days 00:00:00.000000000,Sunday,19,
22,2014-08-18,142.5,12.933333333333334,n/a,1.0,17840.0,95.0,Back,Bent Over Row,1 days 00:00:00.000000000,4 days 00:00:00.000000000,Monday,19,
23,2014-09-03,120.0,13.066666666666666,n/a,1.0,14030.0,80.0,Chest,Flat Dumbbell Bench Press,16 days 00:00:00.000000000,17 days 00:00:00.000000000,Wednesday,19,
24,2014-09-06,142.5,12.933333333333334,n/a,1.0,17840.0,95.0,Back,Bent Over Row,3 days 00:00:00.000000000,19 days 00:00:00.000000000,Saturday,19,
25,2014-10-17,172.5,13.333333333333334,n/a,1.0,11850.0,115.0,Back,Lat Pulldown,41 days 00:00:00.000000000,41 days 00:00:00.000000000,Friday,19,
26,2014-10-18,120.0,14.0,n/a,1.0,5300.0,80.0,Chest,Flat Barbell Bench Press,1 days 00:00:00.000000000,45 days 00:00:00.000000000,Saturday,19,
27,2014-11-30,221.66666666666666,7.3076923076923075,n/a,1.0,6225.0,175.0,Chest,Flat Barbell Bench Press,43 days 00:00:00.000000000,43 days 00:00:00.000000000,Sunday,19,
28,2014-12-18,66.66666666666667,9.4,n/a,1.0,6055.0,50.0,Chest,Flat Dumbbell Bench Press,18 days 00:00:00.000000000,18 days 00:00:00.000000000,Thursday,19,
29,2014-12-19,133.33333333333334,10.0,n/a,1.0,3400.0,100.0,Legs,Dumbbell Calf Raise,1 days 00:00:00.000000000,150 days 00:00:00.000000000,Friday,19,
30,2014-12-20,171.0,6.8,n/a,1.0,3662.0,135.0,Back,Lat Pulldown,1 days 00:00:00.000000000,64 days 00:00:00.000000000,Saturday,19,
31,2014-12-26,180.0,8.045454545454545,n/a,1.0,10583.0,135.0,Chest,Lat Pulldown,6 days 00:00:00.000000000,8 days 00:00:00.000000000,Friday,19,
32,2014-12-27,66.66666666666667,10.0,n/a,1.0,1400.0,50.0,Legs,Dumbbell Lunges,1 days 00:00:00.000000000,8 days 00:00:00.000000000,Saturday,19,
33,2014-12-29,66.66666666666667,10.0,n/a,1.0,1450.0,50.0,Legs,Dumbbell Lunges,2 days 00:00:00.000000000,2 days 00:00:00.000000000,Monday,19,
34,2014-12-30,202.66666666666666,7.615384615384615,n/a,1.0,9014.0,160.0,Chest,Flat Barbell Bench Press,1 days 00:00:00.000000000,4 days 00:00:00.000000000,Tuesday,19,
35,2014-12-31,200.0,7.3,n/a,1.0,4196.0,150.0,Back,Lat Pulldown,1 days 00:00:00.000000000,11 days 00:00:00.000000000,Wednesday,19,
