,activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,distance,distanceUnit,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,pace,source,speed,startTime,steps,tcxLink
0,1485000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 7, 'name': 'fairly'}, {'minutes': 18, 'name': 'very'}]",Walk,90013,112.0,206,https://api.fitbit.com/1/user/-/activities/calories/date/2018-08-22/2018-08-22/1min/time/18:02/18:27.json,,,1485000,60.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-08-22/2018-08-22/1sec/time/18:02:36/18:27:21.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 25, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-08-23 02:02:29,16372684683,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1485000,2018-08-22T18:02:36.000-04:00,,,,2018-08-22T18:02:36.000-04:00,2391,https://api.fitbit.com/1/user/-/activities/16372684683.tcx
1,3744000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 15, 'name': 'fairly'}, {'minutes': 46, 'name': 'very'}]",Workout,3000,128.0,533,https://api.fitbit.com/1/user/-/activities/calories/date/2018-08-22/2018-08-22/1min/time/8:30/9:33.json,,,3745000,60.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-08-22/2018-08-22/1sec/time/08:30:45/09:33:10.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 53, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 10, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-08-22 17:28:37,16356801875,tracker,"{'calories': False, 'distance': False, 'steps': False}",3745000,2018-08-22T08:30:45.000-04:00,,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2018-08-22T08:30:45.000-04:00,1771,https://api.fitbit.com/1/user/-/activities/16356801875.tcx
2,1485000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 19, 'name': 'very'}]",Walk,90013,112.0,198,https://api.fitbit.com/1/user/-/activities/calories/date/2018-08-21/2018-08-21/1min/time/17:33/17:57.json,,,1485000,40.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-08-21/2018-08-21/1sec/time/17:33:06/17:57:51.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 24, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-08-22 01:27:00,16348239240,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1485000,2018-08-21T17:33:06.000-04:00,,,,2018-08-21T17:33:06.000-04:00,2326,https://api.fitbit.com/1/user/-/activities/16348239240.tcx
3,1332000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 17, 'name': 'very'}]",Walk,90013,118.0,190,https://api.fitbit.com/1/user/-/activities/calories/date/2018-08-20/2018-08-20/1min/time/12:00/12:22.json,,,1332000,0.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-08-20/2018-08-20/1sec/time/12:00:07/12:22:19.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 22, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-08-21 17:27:54,16340644594,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1332000,2018-08-20T12:00:07.000-03:00,,,,2018-08-20T12:00:07.000-03:00,2200,https://api.fitbit.com/1/user/-/activities/16340644594.tcx
4,973000,"[{'minutes': 10, 'name': 'sedentary'}, {'minutes': 6, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",Walk,90013,84.0,46,https://api.fitbit.com/1/user/-/activities/calories/date/2018-08-09/2018-08-09/1min/time/13:38/13:54.json,,,973000,30.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-08-09/2018-08-09/1sec/time/13:38:07/13:54:20.json,"[{'max': 98, 'min': 30, 'minutes': 15, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 1, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-08-11 16:25:33,16121818851,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",973000,2018-08-09T13:38:07.000-03:00,,,,2018-08-09T13:38:07.000-03:00,168,https://api.fitbit.com/1/user/-/activities/16121818851.tcx
5,973000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Walk,90013,111.0,137,https://api.fitbit.com/1/user/-/activities/calories/date/2018-08-09/2018-08-09/1min/time/12:38/12:54.json,,,973000,60.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-08-09/2018-08-09/1sec/time/12:38:07/12:54:20.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 16, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-08-11 16:09:32,16121573276,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",973000,2018-08-09T12:38:07.000-04:00,,,,2018-08-09T12:38:07.000-04:00,1500,https://api.fitbit.com/1/user/-/activities/16121573276.tcx
6,7069000,"[{'minutes': 21, 'name': 'sedentary'}, {'minutes': 62, 'name': 'lightly'}, {'minutes': 31, 'name': 'fairly'}, {'minutes': 3, 'name': 'very'}]",Run,90009,103.0,606,https://api.fitbit.com/1/user/-/activities/calories/date/2018-08-09/2018-08-09/1min/time/10:38/12:35.json,1.241319,Mile,7070000,82.998688,https://api.fitbit.com/1/user/-/activities/heart/date/2018-08-09/2018-08-09/1sec/time/10:38:08/12:35:58.json,"[{'max': 98, 'min': 30, 'minutes': 25, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 92, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-08-11 16:09:30,16108347088,tracker,"{'calories': False, 'distance': False, 'steps': False}",7070000,2018-08-09T10:38:08.000-04:00,5694.748892105897,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",0.632161324091102,2018-08-09T10:38:08.000-04:00,3154,https://api.fitbit.com/1/user/-/activities/16108347088.tcx
7,922000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Walk,90013,111.0,126,https://api.fitbit.com/1/user/-/activities/calories/date/2018-08-09/2018-08-09/1min/time/10:14/10:30.json,,,922000,0.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-08-09/2018-08-09/1sec/time/10:14:45/10:30:07.json,"[{'max': 98, 'min': 30, 'minutes': 1, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 15, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-08-11 16:09:31,16121573272,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",922000,2018-08-09T10:14:45.000-04:00,,,,2018-08-09T10:14:45.000-04:00,1545,https://api.fitbit.com/1/user/-/activities/16121573272.tcx
8,2896000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 20, 'name': 'fairly'}, {'minutes': 22, 'name': 'very'}]",Workout,3000,117.0,351,https://api.fitbit.com/1/user/-/activities/calories/date/2018-08-08/2018-08-08/1min/time/8:41/9:29.json,,,2898000,47.998688,https://api.fitbit.com/1/user/-/activities/heart/date/2018-08-08/2018-08-08/1sec/time/08:41:14/09:29:32.json,"[{'max': 98, 'min': 30, 'minutes': 1, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 46, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 1, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-08-08 17:09:10,16049399746,tracker,"{'calories': False, 'distance': False, 'steps': False}",2898000,2018-08-08T08:41:14.000-04:00,,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2018-08-08T08:41:14.000-04:00,882,https://api.fitbit.com/1/user/-/activities/16049399746.tcx
9,4011000,"[{'minutes': 3, 'name': 'sedentary'}, {'minutes': 8, 'name': 'lightly'}, {'minutes': 27, 'name': 'fairly'}, {'minutes': 28, 'name': 'very'}]",Workout,3000,119.0,494,https://api.fitbit.com/1/user/-/activities/calories/date/2018-08-07/2018-08-07/1min/time/8:38/9:45.json,,,4012000,65.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-08-07/2018-08-07/1sec/time/08:38:59/09:45:51.json,"[{'max': 98, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 64, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 1, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-08-07 15:19:49,16034665888,tracker,"{'calories': False, 'distance': False, 'steps': False}",4012000,2018-08-07T08:38:59.000-04:00,,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2018-08-07T08:38:59.000-04:00,1046,https://api.fitbit.com/1/user/-/activities/16034665888.tcx
