,activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,distance,distanceUnit,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,pace,source,speed,startTime,steps,tcxLink
0,2663000,"[{'minutes': 8, 'name': 'sedentary'}, {'minutes': 6, 'name': 'lightly'}, {'minutes': 10, 'name': 'fairly'}, {'minutes': 20, 'name': 'very'}]",Walk,90013,103.0,291,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-19/2018-03-19/1min/time/18:08/18:52.json,,,2663000,120.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-19/2018-03-19/1sec/time/18:08:20/18:52:43.json,"[{'max': 98, 'min': 30, 'minutes': 16, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 28, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-19 23:01:26,13038894857,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",2663000,2018-03-19T18:08:20.000-04:00,,,,2018-03-19T18:08:20.000-04:00,2828,https://api.fitbit.com/1/user/-/activities/13038894857.tcx
1,4716000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 8, 'name': 'fairly'}, {'minutes': 67, 'name': 'very'}]",Workout,3000,131.0,741,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-19/2018-03-19/1min/time/8:17/9:35.json,,,4716000,76.000656,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-19/2018-03-19/1sec/time/08:17:23/09:35:59.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 62, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 16, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-19 13:47:48,13011235038,tracker,"{'calories': False, 'distance': False, 'steps': False}",4716000,2018-03-19T08:17:23.000-04:00,,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2018-03-19T08:17:23.000-04:00,2659,https://api.fitbit.com/1/user/-/activities/13011235038.tcx
2,1895000,"[{'minutes': 5, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 8, 'name': 'fairly'}, {'minutes': 17, 'name': 'very'}]",Walk,90013,109.0,231,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-15/2018-03-15/1min/time/14:57/15:28.json,,,1895000,100.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-15/2018-03-15/1sec/time/14:57:23/15:28:58.json,"[{'max': 98, 'min': 30, 'minutes': 4, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 27, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-15 19:39:45,12958800006,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1895000,2018-03-15T14:57:23.000-04:00,,,,2018-03-15T14:57:23.000-04:00,2477,https://api.fitbit.com/1/user/-/activities/12958800006.tcx
3,4573000,"[{'minutes': 5, 'name': 'sedentary'}, {'minutes': 17, 'name': 'lightly'}, {'minutes': 19, 'name': 'fairly'}, {'minutes': 35, 'name': 'very'}]",Workout,3000,121.0,585,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-15/2018-03-15/1min/time/8:19/9:35.json,,,4573000,90.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-15/2018-03-15/1sec/time/08:19:13/09:35:26.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 65, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 11, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-15 13:46:25,12948478675,tracker,"{'calories': False, 'distance': False, 'steps': False}",4573000,2018-03-15T08:19:13.000-04:00,,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2018-03-15T08:19:13.000-04:00,2466,https://api.fitbit.com/1/user/-/activities/12948478675.tcx
4,922000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 12, 'name': 'very'}]",Walk,90013,110.0,122,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-15/2018-03-15/1min/time/7:54/8:09.json,,,922000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-15/2018-03-15/1sec/time/07:54:08/08:09:30.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 15, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-15 12:21:58,12951835349,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",922000,2018-03-15T07:54:08.000-04:00,,,,2018-03-15T07:54:08.000-04:00,1567,https://api.fitbit.com/1/user/-/activities/12951835349.tcx
5,3937000,"[{'minutes': 8, 'name': 'sedentary'}, {'minutes': 12, 'name': 'lightly'}, {'minutes': 21, 'name': 'fairly'}, {'minutes': 24, 'name': 'very'}]",Run,90009,111.0,445,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-12/2018-03-12/1min/time/8:27/9:32.json,1.231682,Mile,3937000,82.998688,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-12/2018-03-12/1sec/time/08:27:08/09:32:45.json,"[{'max': 98, 'min': 30, 'minutes': 8, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 57, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 1, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-12 13:33:42,12887473054,tracker,"{'calories': False, 'distance': False, 'steps': False}",3937000,2018-03-12T08:27:08.000-04:00,3196.4419387471767,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",1.1262522733045466,2018-03-12T08:27:08.000-04:00,3025,https://api.fitbit.com/1/user/-/activities/12887473054.tcx
6,1843000,"[{'minutes': 4, 'name': 'sedentary'}, {'minutes': 17, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 7, 'name': 'very'}]",Walk,90013,99.0,202,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-11/2018-03-11/1min/time/15:56/16:26.json,,,1843000,70.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-11/2018-03-11/1sec/time/15:56:14/16:26:57.json,"[{'max': 98, 'min': 30, 'minutes': 12, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 17, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-11 20:42:59,12879056834,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1843000,2018-03-11T15:56:14.000-04:00,,,,2018-03-11T15:56:14.000-04:00,2164,https://api.fitbit.com/1/user/-/activities/12879056834.tcx
7,1690000,"[{'minutes': 5, 'name': 'sedentary'}, {'minutes': 13, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 10, 'name': 'very'}]",Walk,90013,103.0,187,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-10/2018-03-10/1min/time/14:25/14:54.json,,,1690000,40.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-10/2018-03-10/1sec/time/14:25:56/14:54:06.json,"[{'max': 98, 'min': 30, 'minutes': 9, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 20, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-10 23:45:44,12865389729,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1690000,2018-03-10T14:25:56.000-05:00,,,,2018-03-10T14:25:56.000-05:00,2083,https://api.fitbit.com/1/user/-/activities/12865389729.tcx
8,2952000,"[{'minutes': 12, 'name': 'sedentary'}, {'minutes': 10, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 24, 'name': 'very'}]",Workout,3000,120.0,336,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-07/2018-03-07/1min/time/8:30/9:19.json,,,2952000,52.001312,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-07/2018-03-07/1sec/time/08:30:18/09:19:30.json,"[{'max': 98, 'min': 30, 'minutes': 9, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 30, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 9, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 1, 'name': 'Peak'}]",2018-03-07 14:31:39,12781991486,tracker,"{'calories': False, 'distance': False, 'steps': False}",2952000,2018-03-07T08:30:18.000-05:00,,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2018-03-07T08:30:18.000-05:00,1007,https://api.fitbit.com/1/user/-/activities/12781991486.tcx
9,1024000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Walk,90013,108.0,141,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-07/2018-03-07/1min/time/8:00/8:17.json,,,1024000,50.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-07/2018-03-07/1sec/time/08:00:42/08:17:46.json,"[{'max': 98, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 15, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-07 13:29:49,12794218883,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1024000,2018-03-07T08:00:42.000-05:00,,,,2018-03-07T08:00:42.000-05:00,1643,https://api.fitbit.com/1/user/-/activities/12794218883.tcx
