,activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,source,startTime,steps,tcxLink
0,1331000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 4, 'name': 'lightly'}, {'minutes': 6, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Walk,90013,103,173,https://api.fitbit.com/1/user/-/activities/calories/date/2018-02-28/2018-02-28/1min/time/21:35/21:58.json,1331000,80.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-02-28/2018-02-28/1sec/time/21:35:56/21:58:07.json,"[{'max': 98, 'min': 30, 'minutes': 5, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 18, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-01 03:33:05,12679198899,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1331000,2018-02-28T21:35:56.000-05:00,,2018-02-28T21:35:56.000-05:00,1909,https://api.fitbit.com/1/user/-/activities/12679198899.tcx
1,1997000,"[{'minutes': 5, 'name': 'sedentary'}, {'minutes': 6, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 17, 'name': 'very'}]",Walk,90013,101,216,https://api.fitbit.com/1/user/-/activities/calories/date/2018-02-28/2018-02-28/1min/time/18:02/18:35.json,1997000,60.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-02-28/2018-02-28/1sec/time/18:02:36/18:35:53.json,"[{'max': 98, 'min': 30, 'minutes': 14, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 19, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-02-28 23:49:55,12676582263,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1997000,2018-02-28T18:02:36.000-05:00,,2018-02-28T18:02:36.000-05:00,2347,https://api.fitbit.com/1/user/-/activities/12676582263.tcx
2,4153000,"[{'minutes': 12, 'name': 'sedentary'}, {'minutes': 24, 'name': 'lightly'}, {'minutes': 19, 'name': 'fairly'}, {'minutes': 14, 'name': 'very'}]",Workout,3000,113,407,https://api.fitbit.com/1/user/-/activities/calories/date/2018-02-28/2018-02-28/1min/time/8:22/9:31.json,4153000,85.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-02-28/2018-02-28/1sec/time/08:22:14/09:31:27.json,"[{'max': 98, 'min': 30, 'minutes': 5, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 62, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 2, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-02-28 14:55:23,12661881220,tracker,"{'calories': False, 'distance': False, 'steps': False}",4153000,2018-02-28T08:22:14.000-05:00,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2018-02-28T08:22:14.000-05:00,1377,https://api.fitbit.com/1/user/-/activities/12661881220.tcx
3,972000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 14, 'name': 'very'}]",Walk,90013,117,148,https://api.fitbit.com/1/user/-/activities/calories/date/2018-02-28/2018-02-28/1min/time/7:58/8:14.json,972000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-02-28/2018-02-28/1sec/time/07:58:27/08:14:39.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 13, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 2, 'name': 'Peak'}]",2018-02-28 13:25:53,12663060462,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",972000,2018-02-28T07:58:27.000-05:00,,2018-02-28T07:58:27.000-05:00,1647,https://api.fitbit.com/1/user/-/activities/12663060462.tcx
4,1842000,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 19, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 7, 'name': 'very'}]",Walk,90013,107,217,https://api.fitbit.com/1/user/-/activities/calories/date/2018-02-27/2018-02-27/1min/time/18:40/19:11.json,1842000,70.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-02-27/2018-02-27/1sec/time/18:40:35/19:11:17.json,"[{'max': 98, 'min': 30, 'minutes': 9, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 21, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 1, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-02-28 00:26:30,12654984264,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1842000,2018-02-27T18:40:35.000-05:00,,2018-02-27T18:40:35.000-05:00,2216,https://api.fitbit.com/1/user/-/activities/12654984264.tcx
5,4144000,"[{'minutes': 16, 'name': 'sedentary'}, {'minutes': 25, 'name': 'lightly'}, {'minutes': 12, 'name': 'fairly'}, {'minutes': 16, 'name': 'very'}]",Workout,3000,111,376,https://api.fitbit.com/1/user/-/activities/calories/date/2018-02-27/2018-02-27/1min/time/8:25/9:34.json,4145000,52.998688,https://api.fitbit.com/1/user/-/activities/heart/date/2018-02-27/2018-02-27/1sec/time/08:25:27/09:34:32.json,"[{'max': 98, 'min': 30, 'minutes': 5, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 63, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 1, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-02-27 14:38:24,12634598644,tracker,"{'calories': False, 'distance': False, 'steps': False}",4145000,2018-02-27T08:25:27.000-05:00,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2018-02-27T08:25:27.000-05:00,1207,https://api.fitbit.com/1/user/-/activities/12634598644.tcx
6,922000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 14, 'name': 'very'}]",Walk,90013,125,150,https://api.fitbit.com/1/user/-/activities/calories/date/2018-02-27/2018-02-27/1min/time/8:03/8:19.json,922000,40.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-02-27/2018-02-27/1sec/time/08:03:59/08:19:21.json,"[{'max': 98, 'min': 30, 'minutes': 1, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 9, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 3, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-02-27 13:35:39,12643625779,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",922000,2018-02-27T08:03:59.000-05:00,,2018-02-27T08:03:59.000-05:00,1620,https://api.fitbit.com/1/user/-/activities/12643625779.tcx
7,4209000,"[{'minutes': 5, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 27, 'name': 'fairly'}, {'minutes': 36, 'name': 'very'}]",Workout,3000,120,508,https://api.fitbit.com/1/user/-/activities/calories/date/2018-02-26/2018-02-26/1min/time/8:22/9:32.json,4211000,106.000656,https://api.fitbit.com/1/user/-/activities/heart/date/2018-02-26/2018-02-26/1sec/time/08:22:00/09:32:11.json,"[{'max': 98, 'min': 30, 'minutes': 5, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 65, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 1, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-02-26 14:33:00,12621408619,tracker,"{'calories': False, 'distance': False, 'steps': False}",4211000,2018-02-26T08:22:00.000-05:00,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2018-02-26T08:22:00.000-05:00,1540,https://api.fitbit.com/1/user/-/activities/12621408619.tcx
8,972000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 11, 'name': 'very'}]",Walk,90013,106,130,https://api.fitbit.com/1/user/-/activities/calories/date/2018-02-26/2018-02-26/1min/time/7:56/8:12.json,972000,20.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-02-26/2018-02-26/1sec/time/07:56:47/08:12:59.json,"[{'max': 98, 'min': 30, 'minutes': 3, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 13, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-02-26 13:17:10,12623361196,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",972000,2018-02-26T07:56:47.000-05:00,,2018-02-26T07:56:47.000-05:00,1595,https://api.fitbit.com/1/user/-/activities/12623361196.tcx
9,1382000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 7, 'name': 'fairly'}, {'minutes': 12, 'name': 'very'}]",Walk,90013,108,167,https://api.fitbit.com/1/user/-/activities/calories/date/2018-02-25/2018-02-25/1min/time/19:55/20:18.json,1382000,60.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-02-25/2018-02-25/1sec/time/19:55:43/20:18:45.json,"[{'max': 98, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 21, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-02-26 01:56:23,12616912527,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1382000,2018-02-25T19:55:43.000-05:00,,2018-02-25T19:55:43.000-05:00,1722,https://api.fitbit.com/1/user/-/activities/12616912527.tcx
