,activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,source,startTime,steps,tcxLink
0,1126000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 16, 'name': 'very'}]",Walk,90013,,170,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-13/2017-04-13/1min/time/21:42/22:01.json,1126000,10.0,,,2017-04-14 02:05:20,7125083885,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1126000,2017-04-13T21:42:43.000-04:00,,2017-04-13T21:42:43.000-04:00,1996,
1,921000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Walk,90013,,136,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-13/2017-04-13/1min/time/18:48/19:03.json,921000,30.0,,,2017-04-13 23:15:23,7122974898,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",921000,2017-04-13T18:48:37.000-04:00,,2017-04-13T18:48:37.000-04:00,1514,
2,1382000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 12, 'name': 'fairly'}, {'minutes': 6, 'name': 'very'}]",Walk,90013,104.0,156,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-12/2017-04-12/1min/time/14:47/15:10.json,1382000,20.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-12/2017-04-12/1sec/time/14:47:33/15:10:35.json,"[{'max': 99, 'min': 30, 'minutes': 5, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 15, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-12 20:07:15,7100689544,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1382000,2017-04-12T14:47:33.000-04:00,,2017-04-12T14:47:33.000-04:00,1406,https://api.fitbit.com/1/user/-/activities/7100689544.tcx
3,1126000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Walk,90013,99.0,152,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-12/2017-04-12/1min/time/14:01/14:20.json,1126000,0.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-12/2017-04-12/1sec/time/14:01:28/14:20:14.json,"[{'max': 99, 'min': 30, 'minutes': 9, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 10, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-12 18:25:59,7098462422,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1126000,2017-04-12T14:01:28.000-04:00,,2017-04-12T14:01:28.000-04:00,1833,https://api.fitbit.com/1/user/-/activities/7098462422.tcx
4,922000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Walk,90013,111.0,135,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-12/2017-04-12/1min/time/7:34/7:49.json,922000,40.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-12/2017-04-12/1sec/time/07:34:03/07:49:25.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 12, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-12 12:26:47,7091423390,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",922000,2017-04-12T07:34:03.000-04:00,,2017-04-12T07:34:03.000-04:00,1479,https://api.fitbit.com/1/user/-/activities/7091423390.tcx
5,2562000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 42, 'name': 'very'}]",Workout,3000,145.0,534,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-12/2017-04-12/1min/time/6:41/7:23.json,2562000,565.000001,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-12/2017-04-12/1sec/time/06:41:02/07:23:44.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 5, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 37, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-12 11:39:09,7086864402,tracker,"{'calories': False, 'distance': False, 'steps': False}",2562000,2017-04-12T06:41:02.000-04:00,"{'id': '77441808', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2017-04-12T06:41:02.000-04:00,4633,https://api.fitbit.com/1/user/-/activities/7086864402.tcx
6,922000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 10, 'name': 'very'}]",Walk,90013,102.0,122,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-11/2017-04-11/1min/time/23:41/23:56.json,922000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-11/2017-04-11/1sec/time/23:41:17/23:56:39.json,"[{'max': 99, 'min': 30, 'minutes': 4, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 11, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-12 04:04:16,7087969765,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",922000,2017-04-11T23:41:17.000-04:00,,2017-04-11T23:41:17.000-04:00,1416,https://api.fitbit.com/1/user/-/activities/7087969765.tcx
7,1177000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 4, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 12, 'name': 'very'}]",Walk,90013,90.0,151,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-11/2017-04-11/1min/time/22:45/23:05.json,1177000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-11/2017-04-11/1sec/time/22:45:50/23:05:27.json,"[{'max': 99, 'min': 30, 'minutes': 14, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 6, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-12 03:21:05,7087491994,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1177000,2017-04-11T22:45:50.000-04:00,,2017-04-11T22:45:50.000-04:00,1779,https://api.fitbit.com/1/user/-/activities/7087491994.tcx
8,3390000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 11, 'name': 'fairly'}, {'minutes': 45, 'name': 'very'}]",Workout,3000,134.0,603,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-11/2017-04-11/1min/time/18:16/19:12.json,3390000,47.998688,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-11/2017-04-11/1sec/time/18:16:22/19:12:52.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 35, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 16, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 5, 'name': 'Peak'}]",2017-04-11 23:15:02,7077538981,tracker,"{'calories': False, 'distance': False, 'steps': False}",3390000,2017-04-11T18:16:22.000-04:00,"{'id': '77441808', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2017-04-11T18:16:22.000-04:00,3518,https://api.fitbit.com/1/user/-/activities/7077538981.tcx
9,2253000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 13, 'name': 'fairly'}, {'minutes': 22, 'name': 'very'}]",Walk,90013,99.0,281,https://api.fitbit.com/1/user/-/activities/calories/date/2017-04-11/2017-04-11/1min/time/17:31/18:09.json,2253000,60.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-04-11/2017-04-11/1sec/time/17:31:48/18:09:21.json,"[{'max': 99, 'min': 30, 'minutes': 16, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 22, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-04-11 22:48:06,7083247541,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",2253000,2017-04-11T17:31:48.000-04:00,,2017-04-11T17:31:48.000-04:00,3036,https://api.fitbit.com/1/user/-/activities/7083247541.tcx
