Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time,Comment
2014-06-07,Lat Pulldown,Back,150.0,10,,,,""
2014-06-07,Lat Pulldown,Back,150.0,10,,,,""
2014-06-07,Lat Pulldown,Back,150.0,10,,,,""
2014-06-07,Seated Back Extension,Back,120.0,10,,,,""
2014-06-07,Seated Back Extension,Back,120.0,10,,,,""
2014-06-07,Seated Back Extension,Back,120.0,10,,,,""
2014-06-07,Pull Up,Back,1.0,8,,,,""
2014-06-07,Pull Up,Back,1.0,5,,,,""
2014-06-07,Pull Up,Back,1.0,1,,,,""
2014-06-08,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2014-06-08,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2014-06-08,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2014-06-08,Push Up,Chest,0.0,10,,,,""
2014-06-10,Seated Leg Curl Machine,Legs,210.0,10,,,,""
2014-06-10,Seated Leg Curl Machine,Legs,210.0,10,,,,""
2014-06-10,Seated Leg Curl Machine,Legs,195.0,10,,,,"Right knee started bothering me"
2014-06-10,Leg Press,Legs,225.0,10,,,,""
2014-06-10,Leg Press,Legs,225.0,10,,,,""
2014-06-10,Leg Press,Legs,225.0,10,,,,""
2014-06-17,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2014-06-17,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2014-06-17,Flat Dumbbell Bench Press,Chest,55.0,8,,,,""
2014-06-17,Dumbbell Hammer Curl,Biceps,35.0,8,,,,""
2014-06-17,Dumbbell Hammer Curl,Biceps,35.0,5,,,,""
2014-06-18,Stationary Bike,Cardio,,,1.4,mi,0:05:00,""
2014-06-18,Rowing Machine,Cardio,,,1162.0,m,0:05:00,""
2014-06-19,Running (Treadmill),Cardio,,,0.55,mi,0:05:01,"Right knee, ankle, and instep starting hurting. Never start on treadmill cold"
2014-06-19,Dumbbell Hammer Curl,Biceps,40.0,6,,,,""
2014-06-19,Dumbbell Hammer Curl,Biceps,35.0,5,,,,""
2014-06-19,Flat Dumbbell Bench Press,Chest,60.0,10,,,,""
2014-06-19,Flat Dumbbell Bench Press,Chest,60.0,10,,,,""
2014-06-19,Pull Up,Back,1.0,6,,,,""
2014-06-19,Pull Up,Back,1.0,5,,,,""
2014-06-19,Pull Up,Back,1.0,4,,,,""
2014-06-19,Leg Press,Legs,225.0,10,,,,""
2014-06-19,Leg Press,Legs,240.0,10,,,,""
2014-06-19,Leg Press,Legs,240.0,10,,,,""
2014-06-19,Standing Calf Raise Machine,Legs,70.0,10,,,,""
2014-06-19,Standing Calf Raise Machine,Legs,70.0,10,,,,""
2014-06-19,Standing Calf Raise Machine,Legs,70.0,10,,,,""
2014-06-22,Stationary Bike,Cardio,,,1.6,mi,0:05:00,""
2014-06-22,Running (Treadmill),Cardio,,,0.63,mi,0:05:16,""
2014-06-22,Leg Press,Legs,255.0,10,,,,""
2014-06-22,Leg Press,Legs,255.0,10,,,,""
2014-06-22,Leg Press,Legs,255.0,10,,,,""
2014-06-22,Standing Calf Raise Machine,Legs,135.0,10,,,,""
2014-06-22,Standing Calf Raise Machine,Legs,120.0,10,,,,""
2014-06-22,Standing Calf Raise Machine,Legs,120.0,10,,,,""
2014-06-22,Pull Up,Back,1.0,10,,,,""
2014-06-22,Pull Up,Back,1.0,6,,,,""
2014-06-22,Pull Up,Back,1.0,5,,,,""
2014-06-22,Pull Up,Back,1.0,4,,,,""
2014-06-24,Stationary Bike,Cardio,,,1.48,mi,0:05:00,""
2014-06-24,Running (Treadmill),Cardio,,,0.56,mi,0:05:00,""
2014-06-24,Dumbbell Hammer Curl,Biceps,40.0,5,,,,""
2014-06-24,Dumbbell Hammer Curl,Biceps,35.0,5,,,,""
2014-06-24,Dumbbell Hammer Curl,Biceps,35.0,10,,,,""
2014-06-24,Dumbbell Hammer Curl,Biceps,35.0,5,,,,""
2014-06-24,Flat Dumbbell Bench Press,Chest,60.0,10,,,,""
2014-06-24,Flat Dumbbell Bench Press,Chest,60.0,10,,,,""
2014-06-24,Flat Dumbbell Bench Press,Chest,60.0,5,,,,""
2014-06-24,Pull Up,Back,1.0,10,,,,""
2014-06-24,Pull Up,Back,1.0,6,,,,""
2014-06-24,Pull Up,Back,1.0,3,,,,""
2014-06-24,Lat Pulldown,Back,150.0,10,,,,""
2014-06-24,Lat Pulldown,Back,150.0,10,,,,""
2014-06-24,Lat Pulldown,Back,150.0,10,,,,""
2014-06-26,Stationary Bike,Cardio,,,1.56,mi,0:05:00,""
2014-06-26,Running (Treadmill),Cardio,,,0.62,mi,0:05:00,""
2014-06-30,Stationary Bike,Cardio,,,1.63,mi,0:05:00,""
2014-06-30,Rowing Machine,Cardio,,,1200.0,m,0:05:00,""
2014-07-01,Stationary Bike,Cardio,,,1.45,mi,0:05:00,""
2014-07-01,Running (Treadmill),Cardio,,,0.63,mi,0:05:00,""
2014-07-01,Flat Dumbbell Bench Press,Chest,60.0,10,,,,""
2014-07-01,Flat Dumbbell Bench Press,Chest,60.0,10,,,,""
2014-07-01,Flat Dumbbell Bench Press,Chest,60.0,6,,,,""
2014-07-01,Dumbbell Curl,Biceps,35.0,10,,,,""
2014-07-02,Stationary Bike,Cardio,,,1.42,mi,0:05:00,""
2014-07-02,Running (Treadmill),Cardio,,,0.6,mi,0:05:00,""
2014-07-02,Rowing Machine,Cardio,,,1198.0,m,0:05:08,""
2014-07-02,Lat Pulldown,Back,155.0,10,,,,""
2014-07-02,Lat Pulldown,Back,155.0,10,,,,""
2014-07-02,Lat Pulldown,Back,155.0,10,,,,""
2014-07-02,Pull Up,Back,1.0,6,,,,""
2014-07-02,Pull Up,Back,1.0,4,,,,""
2014-07-02,Pull Up,Back,1.0,3,,,,""
2014-07-05,Stationary Bike,Cardio,,,2.0,mi,0:07:26,"Just doing bike for a while until the doctor can help with my knee"
2014-07-05,Undefined Ab Workout,Abs,1.0,1,,,,""
2014-07-07,Stationary Bike,Cardio,,,1.53,mi,0:05:00,""
2014-07-07,Running (Treadmill),Cardio,,,0.61,mi,0:05:00,""
2014-07-07,Flat Dumbbell Bench Press,Chest,65.0,10,,,,""
2014-07-07,Flat Dumbbell Bench Press,Chest,60.0,10,,,,""
2014-07-07,Flat Dumbbell Bench Press,Chest,60.0,10,,,,""
2014-07-07,Dumbbell Hammer Curl,Biceps,35.0,10,,,,""
2014-07-07,Dumbbell Hammer Curl,Biceps,35.0,5,,,,""
2014-07-07,Dumbbell Hammer Curl,Biceps,35.0,4,,,,""
2014-07-09,Stationary Bike,Cardio,,,1.38,mi,0:05:00,""
2014-07-09,Rowing Machine,Cardio,,,1250.0,m,0:05:00,""
2014-07-09,Seated Cable Row,Back,120.0,8,,,,""
2014-07-09,Seated Cable Row,Back,120.0,8,,,,""
2014-07-09,Seated Cable Row,Back,120.0,8,,,,""
2014-07-09,Dumbbell Row,Back,60.0,10,,,,""
2014-07-09,Dumbbell Row,Back,60.0,10,,,,""
2014-07-09,Dumbbell Row,Back,60.0,10,,,,""
2014-07-09,Pull Up,Back,1.0,7,,,,""
2014-07-09,Pull Up,Back,1.0,4,,,,""
2014-07-09,Pull Up,Back,1.0,4,,,,""
2014-07-10,Stationary Bike,Cardio,,,1.34,mi,0:05:00,""
2014-07-10,Undefined Ab Workout,Abs,1.0,1,,,,""
2014-07-13,Dumbbell Tricep Kickback,Triceps,30.0,10,,,,""
2014-07-13,Dumbbell Overhead Triceps Extension,Triceps,50.0,10,,,,""
2014-07-13,Dumbbell Overhead Triceps Extension,Triceps,50.0,10,,,,""
2014-07-13,Rowing Machine,Cardio,,,1246.0,m,0:05:00,""
2014-07-15,Stationary Bike,Cardio,,,1.51,mi,0:05:00,""
2014-07-15,Running (Treadmill),Cardio,,,0.58,mi,0:05:00,""
2014-07-15,Rowing Machine,Cardio,,,1171.0,m,0:05:08,""
2014-07-15,Undefined Ab Workout,Abs,1.0,1,,,,""
2014-07-16,Flat Dumbbell Bench Press,Chest,65.0,10,,,,""
2014-07-16,Flat Dumbbell Bench Press,Chest,65.0,10,,,,""
2014-07-16,Flat Dumbbell Bench Press,Chest,65.0,10,,,,""
2014-07-17,Stationary Bike,Cardio,,,1.56,mi,0:05:38,""
2014-07-17,Running (Treadmill),Cardio,,,0.57,mi,0:05:00,""
2014-07-21,Stationary Bike,Cardio,,,1.4,mi,0:05:00,""
2014-07-21,Running (Treadmill),Cardio,,,0.55,mi,0:05:00,""
2014-07-21,Undefined Ab Workout,Abs,1.0,1,,,,""
2014-07-22,Stationary Bike,Cardio,,,1.6,mi,0:05:00,""
2014-07-22,Running (Treadmill),Cardio,,,0.63,mi,0:05:16,""
2014-07-22,Leg Press,Legs,255.0,10,,,,""
2014-07-22,Leg Press,Legs,255.0,10,,,,""
2014-07-22,Leg Press,Legs,255.0,10,,,,""
2014-07-22,Standing Calf Raise Machine,Legs,135.0,10,,,,""
2014-07-22,Standing Calf Raise Machine,Legs,120.0,10,,,,""
2014-07-22,Standing Calf Raise Machine,Legs,120.0,10,,,,""
2014-07-22,Pull Up,Back,1.0,10,,,,""
2014-07-22,Pull Up,Back,1.0,6,,,,""
2014-07-22,Pull Up,Back,1.0,5,,,,""
2014-07-22,Pull Up,Back,1.0,4,,,,""
2014-07-23,Stationary Bike,Cardio,,,1.44,mi,0:05:00,""
2014-07-23,Rowing Machine,Cardio,,,1214.0,m,0:05:00,""
2014-07-23,T-Bar Row,Back,120.0,10,,,,""
2014-07-23,T-Bar Row,Back,120.0,10,,,,""
2014-07-23,T-Bar Row,Back,120.0,10,,,,""
2014-07-23,Lat Pulldown,Back,150.0,10,,,,""
2014-07-23,Lat Pulldown,Back,150.0,10,,,,""
2014-07-23,Lat Pulldown,Back,150.0,10,,,,""
2014-07-25,Stationary Bike,Cardio,,,1.5,mi,0:05:00,""
2014-07-27,Seated Machine Fly,Chest,160.0,10,,,,""
2014-07-27,Seated Machine Fly,Chest,155.0,10,,,,""
2014-07-27,Seated Machine Fly,Chest,150.0,3,,,,""
2014-07-27,Seated Machine Fly,Chest,145.0,1,,,,""
2014-07-27,Seated Machine Fly,Chest,140.0,1,,,,""
2014-07-27,Dumbbell Shoulder Press,Shoulders,45.0,10,,,,""
2014-07-27,Dumbbell Shoulder Press,Shoulders,45.0,10,,,,""
2014-07-27,Dumbbell Shoulder Press,Shoulders,45.0,10,,,,""
2014-07-27,Close Grip Dip,Triceps,0.0,10,,,,""
2014-07-27,Close Grip Dip,Triceps,0.0,10,,,,""
2014-07-27,Close Grip Dip,Triceps,0.0,7,,,,""
2014-07-27,Close Grip Dip,Triceps,0.0,3,,,,""
2014-07-27,Running (Treadmill),Cardio,,,0.56,mi,0:05:00,""
2014-07-27,Undefined Ab Workout,Abs,1.0,1,,,,""
2014-07-28,Stationary Bike,Cardio,,,1.57,mi,0:05:07,""
2014-07-28,Running (Treadmill),Cardio,,,0.57,mi,0:05:00,""
2014-07-28,Undefined Ab Workout,Abs,1.0,1,,,,""
2014-07-30,Rowing Machine,Cardio,,,1222.0,m,0:05:00,""
2014-07-30,T-Bar Row,Back,135.0,10,,,,""
2014-07-30,T-Bar Row,Back,135.0,10,,,,""
2014-07-30,T-Bar Row,Back,135.0,10,,,,""
2014-07-30,Lat Pulldown,Back,150.0,10,,,,""
2014-07-30,Lat Pulldown,Back,150.0,10,,,,""
2014-07-30,Lat Pulldown,Back,150.0,10,,,,""
2014-07-31,Stationary Bike,Cardio,,,1.35,mi,0:05:00,""
2014-08-04,Stationary Bike,Cardio,,,1.56,mi,0:05:00,""
2014-08-04,Running (Treadmill),Cardio,,,0.58,mi,0:05:00,""
2014-08-04,Undefined Ab Workout,Abs,1.0,1,,,,""
2014-08-07,Stationary Bike,Cardio,,,1.37,mi,0:05:00,""
2014-08-07,Rowing Machine,Cardio,,,1358.0,m,0:05:31,""
2014-08-07,Pull Up,Back,1.0,6,,,,""
2014-08-07,Pull Up,Back,1.0,4,,,,""
2014-08-07,Pull Up,Back,1.0,4,,,,""
2014-08-08,Seated Machine Fly,Chest,165.0,10,,,,""
2014-08-08,Seated Machine Fly,Chest,165.0,10,,,,""
2014-08-08,Seated Machine Fly,Chest,165.0,3,,,,""
2014-08-08,Seated Machine Fly,Chest,160.0,1,,,,""
2014-08-08,Seated Machine Fly,Chest,155.0,1,,,,""
2014-08-08,Seated Machine Fly,Chest,150.0,1,,,,""
2014-08-11,Stationary Bike,Cardio,,,1.53,mi,0:05:00,""
2014-08-11,Running (Treadmill),Cardio,,,0.57,mi,0:05:00,""
2014-08-12,Stationary Bike,Cardio,,,1.5,mi,0:05:00,""
2014-08-12,Running (Treadmill),Cardio,,,0.56,mi,0:05:00,""
2014-08-12,Undefined Ab Workout,Abs,1.0,1,,,,""
2014-08-14,Stationary Bike,Cardio,,,1.53,mi,0:05:09,""
2014-08-14,Rowing Machine,Cardio,,,1310.0,m,0:05:15,""
2014-08-14,Pull Up,Back,1.0,8,,,,""
2014-08-14,Pull Up,Back,1.0,5,,,,""
2014-08-14,Pull Up,Back,1.0,4,,,,""
2014-08-14,Dumbbell Row,Back,65.0,10,,,,""
2014-08-14,Dumbbell Row,Back,65.0,10,,,,""
2014-08-14,Dumbbell Row,Back,65.0,10,,,,""
2014-08-15,Dumbbell Shoulder Press,Shoulders,35.0,10,,,,""
2014-08-15,Dumbbell Shoulder Press,Shoulders,35.0,6,,,,""
2014-08-15,Dumbbell Shoulder Press,Shoulders,35.0,6,,,,""
2014-08-15,Dumbbell Shoulder Press,Shoulders,30.0,6,,,,""
2014-08-15,Dumbbell Shoulder Press,Shoulders,30.0,6,,,,""
2014-08-15,Running (Treadmill),Cardio,,,0.57,mi,0:05:00,""
2014-08-17,Flat Dumbbell Bench Press,Chest,80.0,15,,,,""
2014-08-17,Flat Dumbbell Bench Press,Chest,80.0,15,,,,""
2014-08-17,Flat Dumbbell Bench Press,Chest,80.0,15,,,,""
2014-08-17,Flat Dumbbell Bench Press,Chest,80.0,15,,,,""
2014-08-17,Flat Dumbbell Bench Press,Chest,80.0,7,,,,""
2014-08-17,Flat Dumbbell Bench Press,Chest,70.0,15,,,,""
2014-08-17,Flat Dumbbell Bench Press,Chest,70.0,12,,,,""
2014-08-17,Flat Dumbbell Bench Press,Chest,70.0,15,,,,""
2014-08-17,Flat Dumbbell Bench Press,Chest,70.0,12,,,,""
2014-08-17,Flat Dumbbell Bench Press,Chest,70.0,12,,,,"Wayyy too much rest"
2014-08-17,Flat Dumbbell Bench Press,Chest,70.0,15,,,,""
2014-08-17,Flat Dumbbell Bench Press,Chest,70.0,12,,,,""
2014-08-17,Flat Dumbbell Bench Press,Chest,60.0,12,,,,""
2014-08-17,Flat Dumbbell Bench Press,Chest,60.0,12,,,,""
2014-08-17,Flat Dumbbell Bench Press,Chest,60.0,12,,,,""
2014-08-18,Bent Over Row,Back,95.0,15,,,,""
2014-08-18,Bent Over Row,Back,95.0,15,,,,""
2014-08-18,Bent Over Row,Back,95.0,15,,,,""
2014-08-18,Bent Over Row,Back,95.0,15,,,,""
2014-08-18,Bent Over Row,Back,95.0,15,,,,""
2014-08-18,Bent Over Row,Back,95.0,15,,,,""
2014-08-18,Bent Over Row,Back,95.0,12,,,,""
2014-08-18,Bent Over Row,Back,95.0,12,,,,""
2014-08-18,Bent Over Row,Back,95.0,12,,,,""
2014-08-18,Bent Over Row,Back,95.0,9,,,,""
2014-08-18,Bent Over Row,Back,85.0,12,,,,""
2014-08-18,Bent Over Row,Back,85.0,12,,,,""
2014-08-18,Bent Over Row,Back,85.0,12,,,,""
2014-08-18,Bent Over Row,Back,85.0,11,,,,""
2014-08-18,Bent Over Row,Back,85.0,12,,,,""
2014-09-03,Flat Dumbbell Bench Press,Chest,80.0,15,,,,""
2014-09-03,Flat Dumbbell Bench Press,Chest,80.0,15,,,,""
2014-09-03,Flat Dumbbell Bench Press,Chest,80.0,15,,,,""
2014-09-03,Flat Dumbbell Bench Press,Chest,80.0,15,,,,""
2014-09-03,Flat Dumbbell Bench Press,Chest,80.0,7,,,,""
2014-09-03,Flat Dumbbell Bench Press,Chest,70.0,15,,,,""
2014-09-03,Flat Dumbbell Bench Press,Chest,70.0,12,,,,""
2014-09-03,Flat Dumbbell Bench Press,Chest,70.0,15,,,,""
2014-09-03,Flat Dumbbell Bench Press,Chest,70.0,12,,,,""
2014-09-03,Flat Dumbbell Bench Press,Chest,70.0,12,,,,""
2014-09-03,Flat Dumbbell Bench Press,Chest,70.0,15,,,,""
2014-09-03,Flat Dumbbell Bench Press,Chest,70.0,12,,,,""
2014-09-03,Flat Dumbbell Bench Press,Chest,60.0,12,,,,"Wayyy too much rest"
2014-09-03,Flat Dumbbell Bench Press,Chest,60.0,12,,,,"Wayyy too much rest"
2014-09-03,Flat Dumbbell Bench Press,Chest,60.0,12,,,,"Wayyy too much rest"
2014-09-06,Bent Over Row,Back,95.0,15,,,,""
2014-09-06,Bent Over Row,Back,95.0,15,,,,""
2014-09-06,Bent Over Row,Back,95.0,15,,,,""
2014-09-06,Bent Over Row,Back,95.0,15,,,,""
2014-09-06,Bent Over Row,Back,95.0,15,,,,""
2014-09-06,Bent Over Row,Back,95.0,15,,,,""
2014-09-06,Bent Over Row,Back,95.0,12,,,,""
2014-09-06,Bent Over Row,Back,95.0,12,,,,""
2014-09-06,Bent Over Row,Back,95.0,12,,,,""
2014-09-06,Bent Over Row,Back,95.0,9,,,,""
2014-09-06,Bent Over Row,Back,85.0,12,,,,""
2014-09-06,Bent Over Row,Back,85.0,12,,,,""
2014-09-06,Bent Over Row,Back,85.0,12,,,,"Wayyy too much rest"
2014-09-06,Bent Over Row,Back,85.0,11,,,,"Wayyy too much rest"
2014-09-06,Bent Over Row,Back,85.0,12,,,,"Wayyy too much rest; toward the latter half, it becomes difficult to continue lifting with the same amount of rest"
2014-10-17,Lat Pulldown,Back,115.0,15,,,,""
2014-10-17,Lat Pulldown,Back,115.0,15,,,,""
2014-10-17,Bent Over Row,Back,95.0,15,,,,""
2014-10-17,Bent Over Row,Back,95.0,15,,,,""
2014-10-17,Bent Over Row,Back,95.0,15,,,,""
2014-10-17,Bent Over Row,Back,95.0,15,,,,""
2014-10-17,Bent Over Row,Back,95.0,11,,,,""
2014-10-17,Bent Over Row,Back,90.0,8,,,,""
2014-10-17,Bent Over Row,Back,85.0,11,,,,""
2014-10-18,Flat Barbell Bench Press,Chest,80.0,15,,,,""
2014-10-18,Flat Barbell Bench Press,Chest,80.0,15,,,,""
2014-10-18,Flat Barbell Bench Press,Chest,80.0,10,,,,""
2014-10-18,Flat Barbell Bench Press,Chest,70.0,15,,,,""
2014-10-18,Flat Barbell Bench Press,Chest,70.0,15,,,,""
2014-11-21,Undefined Ab Workout,Abs,1.0,1,,,,""
2014-11-30,Flat Dumbbell Bench Press,Chest,50.0,10,,,,""
2014-11-30,Flat Dumbbell Bench Press,Chest,50.0,10,,,,""
2014-11-30,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2014-11-30,Dumbbell Curl,Biceps,30.0,10,,,,""
2014-11-30,Dumbbell Curl,Biceps,30.0,5,,,,""
2014-11-30,Dumbbell Curl,Biceps,25.0,5,,,,""
2014-11-30,Dumbbell Curl,Biceps,30.0,5,,,,""
2014-11-30,Dumbbell Curl,Biceps,25.0,5,,,,""
2014-11-30,Dumbbell Lunge,Legs,40.0,10,,,,""
2014-11-30,Dumbbell Calf Raise,Legs,80.0,10,,,,""
2014-11-30,Flat Barbell Bench Press,Chest,175.0,8,,,,""
2014-11-30,Flat Barbell Bench Press,Chest,175.0,5,,,,""
2014-11-30,Flat Barbell Bench Press,Chest,175.0,2,,,,""
2014-12-18,Rowing Machine,Cardio,,,1144.0,m,0:05:00,""
2014-12-18,Flat Dumbbell Bench Press,Chest,50.0,10,,,,""
2014-12-18,Flat Dumbbell Bench Press,Chest,50.0,10,,,,""
2014-12-18,Flat Dumbbell Bench Press,Chest,50.0,10,,,,""
2014-12-18,Flat Dumbbell Bench Press,Chest,50.0,10,,,,""
2014-12-18,Flat Dumbbell Bench Press,Chest,50.0,8,,,,""
2014-12-18,Flat Dumbbell Bench Press,Chest,45.0,10,,,,""
2014-12-18,Flat Dumbbell Bench Press,Chest,45.0,10,,,,""
2014-12-18,Flat Dumbbell Bench Press,Chest,45.0,10,,,,""
2014-12-18,Flat Dumbbell Bench Press,Chest,45.0,7,,,,""
2014-12-18,Flat Dumbbell Bench Press,Chest,40.0,6,,,,""
2014-12-18,Flat Dumbbell Bench Press,Chest,35.0,10,,,,""
2014-12-18,Flat Dumbbell Bench Press,Chest,35.0,10,,,,""
2014-12-18,Flat Dumbbell Bench Press,Chest,35.0,10,,,,""
2014-12-18,Flat Dumbbell Bench Press,Chest,35.0,10,,,,""
2014-12-18,Flat Dumbbell Bench Press,Chest,35.0,10,,,,""
2014-12-19,Dumbbell Lunge,Legs,40.0,10,,,,""
2014-12-19,Dumbbell Calf Raise,Legs,100.0,10,,,,""
2014-12-19,Dumbbell Calf Raise,Legs,100.0,10,,,,""
2014-12-19,Dumbbell Calf Raise,Legs,100.0,10,,,,""
2014-12-20,Rowing Machine,Cardio,,,1097.0,m,0:05:00,""
2014-12-20,Pull Up,Back,1.0,10,,,,""
2014-12-20,Pull Up,Back,1.0,4,,,,""
2014-12-20,Pull Up,Back,1.0,5,,,,""
2014-12-20,Pull Up,Back,1.0,3,,,,""
2014-12-20,Dumbbell Curl,Biceps,25.0,10,,,,""
2014-12-20,Dumbbell Curl,Biceps,25.0,6,,,,""
2014-12-20,Dumbbell Curl,Biceps,25.0,6,,,,""
2014-12-20,Lat Pulldown,Back,120.0,10,,,,""
2014-12-20,Lat Pulldown,Back,135.0,8,,,,""
2014-12-20,Lat Pulldown,Back,135.0,6,,,,""
2014-12-22,Undefined Ab Workout,Abs,1.0,1,,,,""
2014-12-26,Flat Dumbbell Bench Press,Chest,45.0,10,,,,""
2014-12-26,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2014-12-26,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2014-12-26,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2014-12-26,Flat Dumbbell Bench Press,Chest,55.0,6,,,,""
2014-12-26,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2014-12-26,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2014-12-26,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2014-12-26,Flat Dumbbell Bench Press,Chest,55.0,5,,,,""
2014-12-26,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2014-12-26,Flat Dumbbell Bench Press,Chest,55.0,5,,,,"Left shoulder began hurting at this point. Definitely need to ice"
2014-12-26,Flat Dumbbell Bench Press,Chest,50.0,6,,,,""
2014-12-26,Flat Dumbbell Bench Press,Chest,50.0,8,,,,""
2014-12-26,Flat Dumbbell Bench Press,Chest,45.0,7,,,,""
2014-12-26,Flat Dumbbell Bench Press,Chest,45.0,7,,,,"Really need to manage my rest time better. The rest was getting out of control."
2014-12-26,Pull Up,Back,1.0,10,,,,""
2014-12-26,Pull Up,Back,1.0,5,,,,""
2014-12-26,Pull Up,Back,1.0,3,,,,""
2014-12-26,Pull Up,Back,1.0,5,,,,""
2014-12-26,Lat Pulldown,Back,135.0,10,,,,""
2014-12-26,Lat Pulldown,Back,135.0,10,,,,""
2014-12-26,Lat Pulldown,Back,135.0,10,,,,""
2014-12-27,Dumbbell Lunge,Legs,40.0,10,,,,""
2014-12-27,Dumbbell Lunge,Legs,50.0,10,,,,""
2014-12-27,Dumbbell Lunge,Legs,50.0,10,,,,""
2014-12-27,Undefined Ab Workout,Abs,1.0,1,,,,""
2014-12-29,Dumbbell Lunge,Legs,45.0,10,,,,""
2014-12-29,Dumbbell Lunge,Legs,50.0,10,,,,""
2014-12-29,Dumbbell Lunge,Legs,50.0,10,,,,""
2014-12-29,Undefined Ab Workout,Abs,1.0,1,,,,""
2014-12-30,Flat Barbell Bench Press,Chest,135.0,8,,,,""
2014-12-30,Flat Barbell Bench Press,Chest,160.0,8,,,,""
2014-12-30,Flat Barbell Bench Press,Chest,160.0,8,,,,""
2014-12-30,Flat Barbell Bench Press,Chest,160.0,7,,,,""
2014-12-30,Pull Up,Back,1.0,5,,,,""
2014-12-30,Pull Up,Back,1.0,7,,,,""
2014-12-30,Pull Up,Back,1.0,2,,,,""
2014-12-30,Seated Calf Raise Machine,Legs,50.0,10,,,,""
2014-12-30,Seated Calf Raise Machine,Legs,70.0,10,,,,""
2014-12-30,Seated Calf Raise Machine,Legs,70.0,10,,,,""
2014-12-30,Incline Barbell Bench Press,Chest,90.0,10,,,,""
2014-12-30,Incline Barbell Bench Press,Chest,110.0,9,,,,""
2014-12-30,Incline Barbell Bench Press,Chest,90.0,5,,,,""
2014-12-31,Rowing Machine,Cardio,,,1221.0,m,0:05:06,""
2014-12-31,Pull Up,Back,1.0,9,,,,""
2014-12-31,Pull Up,Back,1.0,8,,,,""
2014-12-31,Pull Up,Back,1.0,5,,,,""
2014-12-31,Pull Up,Back,1.0,4,,,,""
2014-12-31,Lat Pulldown,Back,150.0,10,,,,""
2014-12-31,Lat Pulldown,Back,150.0,5,,,,""
2014-12-31,Lat Pulldown,Back,135.0,2,,,,""
2014-12-31,Hammer Strength Row,Back,55.0,10,,,,""
2014-12-31,Hammer Strength Row,Back,55.0,10,,,,""
2014-12-31,Hammer Strength Row,Back,55.0,10,,,,""
2015-01-02,Undefined Ab Workout,Abs,1.0,1,,,,""
2015-01-03,Dumbbell Lunge,Legs,50.0,10,,,,""
2015-01-03,Dumbbell Lunge,Legs,55.0,10,,,,""
2015-01-03,Dumbbell Lunge,Legs,50.0,10,,,,""
2015-01-05,Rowing Machine,Cardio,,,1218.0,m,0:05:13,""
2015-01-05,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2015-01-05,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2015-01-05,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2015-01-05,Flat Dumbbell Bench Press,Chest,60.0,10,,,,""
2015-01-05,Flat Dumbbell Bench Press,Chest,60.0,10,,,,""
2015-01-05,Flat Dumbbell Bench Press,Chest,60.0,10,,,,"Had to stop because my left shoulder started hurting"
2015-01-06,Rowing Machine,Cardio,,,1229.0,m,0:05:08,""
2015-01-06,Pull Up,Back,1.0,12,,,,""
2015-01-06,Pull Up,Back,1.0,6,,,,""
2015-01-06,Pull Up,Back,1.0,2,,,,""
2015-01-06,Deadlift,Back,125.0,10,,,,""
2015-01-06,Deadlift,Back,125.0,10,,,,"Torran helped me out with form"
2015-01-06,Deadlift,Back,135.0,10,,,,""
2015-01-06,Deadlift,Back,135.0,10,,,,"This amount of weight caused discomfort in the right side of my back"
2015-01-06,Lat Pulldown,Back,140.0,10,,,,""
2015-01-06,Lat Pulldown,Back,140.0,10,,,,""
2015-01-06,Lat Pulldown,Back,140.0,10,,,,""
2015-01-06,Running (Outdoor),Cardio,,,1.0,mi,0:09:23,""
2015-01-06,Rear Delt Machine Fly,Shoulders,85.0,12,,,,""
2015-01-06,Rear Delt Machine Fly,Shoulders,80.0,12,,,,""
2015-01-06,Rear Delt Machine Fly,Shoulders,80.0,12,,,,""
2015-01-06,Rear Delt Machine Fly,Shoulders,80.0,12,,,,""
2015-01-09,Rowing Machine,Cardio,,,1226.0,m,0:05:06,""
2015-01-09,Dumbbell Row,Back,50.0,10,,,,""
2015-01-09,Dumbbell Row,Back,50.0,10,,,,""
2015-01-09,Dumbbell Row,Back,50.0,10,,,,""
2015-01-09,Dumbbell Lunge,Legs,50.0,10,,,,""
2015-01-09,Dumbbell Lunge,Legs,55.0,10,,,,""
2015-01-09,Dumbbell Lunge,Legs,55.0,10,,,,""
