dateTime,value
07/21/16 00:00:00,"{'date': '07/21/16', 'value': 63.699753761291504, 'error': 7.149576187133789}"
07/22/16 00:00:00,"{'date': '07/22/16', 'value': 64.63050746917725, 'error': 6.90572452545166}"
07/23/16 00:00:00,"{'date': '07/23/16', 'value': 64.80115413665771, 'error': 6.826254844665527}"
07/24/16 00:00:00,"{'date': '07/24/16', 'value': 63.76048469543457, 'error': 6.800055503845215}"
07/25/16 00:00:00,"{'date': '07/25/16', 'value': 62.357421875, 'error': 6.791384696960449}"
07/26/16 00:00:00,"{'date': '07/26/16', 'value': 62.00871562957764, 'error': 6.788512229919434}"
07/27/16 00:00:00,"{'date': '07/27/16', 'value': 62.603803634643555, 'error': 6.787559509277344}"
07/28/16 00:00:00,"{'date': '07/28/16', 'value': 62.14041709899902, 'error': 6.787243843078613}"
07/29/16 00:00:00,"{'date': '07/29/16', 'value': 62.716824531555176, 'error': 6.787138938903809}"
07/30/16 00:00:00,"{'date': '07/30/16', 'value': 62.463839530944824, 'error': 6.787104606628418}"
07/31/16 00:00:00,"{'date': '07/31/16', 'value': 62.31959056854248, 'error': 10.699859619140625}"
08/01/16 00:00:00,"{'date': '08/01/16', 'value': 60.89915180206299, 'error': 7.924254417419434}"
08/02/16 00:00:00,"{'date': '08/02/16', 'value': 60.772491455078125, 'error': 7.149295806884766}"
08/03/16 00:00:00,"{'date': '08/03/16', 'value': 61.2005500793457, 'error': 6.9056339263916025}"
08/04/16 00:00:00,"{'date': '08/04/16', 'value': 62.872694969177246, 'error': 6.826224327087402}"
08/05/16 00:00:00,"{'date': '08/05/16', 'value': 63.06950855255127, 'error': 10.732085227966309}"
08/06/16 00:00:00,"{'date': '08/06/16', 'value': 63.49955081939697, 'error': 7.932455062866211}"
08/07/16 00:00:00,"{'date': '08/07/16', 'value': 64.54923820495605, 'error': 7.1518049240112305}"
08/08/16 00:00:00,"{'date': '08/08/16', 'value': 62.12328052520752, 'error': 6.9064435958862305}"
08/09/16 00:00:00,"{'date': '08/09/16', 'value': 61.75322723388672, 'error': 6.826491355895996}"
08/10/16 00:00:00,"{'date': '08/10/16', 'value': 62.55167865753174, 'error': 6.800132751464844}"
08/11/16 00:00:00,"{'date': '08/11/16', 'value': 63.26825428009033, 'error': 6.791410446166992}"
08/12/16 00:00:00,"{'date': '08/12/16', 'value': 62.64945316314697, 'error': 6.788519859313965}"
08/13/16 00:00:00,"{'date': '08/13/16', 'value': 63.47941589355469, 'error': 6.787562370300293}"
08/14/16 00:00:00,"{'date': '08/14/16', 'value': 62.97397518157959, 'error': 10.700236320495605}"
08/15/16 00:00:00,"{'date': '08/15/16', 'value': 62.17449951171875, 'error': 14.301529884338379}"
08/16/16 00:00:00,"{'date': '08/16/16', 'value': 62.0726375579834, 'error': 8.748188972473145}"
08/17/16 00:00:00,"{'date': '08/17/16', 'value': 63.62512493133545, 'error': 7.394433975219727}"
08/18/16 00:00:00,"{'date': '08/18/16', 'value': 63.85438060760498, 'error': 11.197948455810547}"
08/19/16 00:00:00,"{'date': '08/19/16', 'value': 63.16156005859375, 'error': 14.21324634552002}"
08/20/16 00:00:00,"{'date': '08/20/16', 'value': 63.60176086425781, 'error': 8.730008125305176}"
08/21/16 00:00:00,"{'date': '08/21/16', 'value': 62.48606204986572, 'error': 7.3891706466674805}"
08/22/16 00:00:00,"{'date': '08/22/16', 'value': 61.56328296661377, 'error': 6.982476234436035}"
08/23/16 00:00:00,"{'date': '08/23/16', 'value': 62.04343891143799, 'error': 6.85141658782959}"
08/24/16 00:00:00,"{'date': '08/24/16', 'value': 62.450928688049316, 'error': 6.808366775512695}"
08/25/16 00:00:00,"{'date': '08/25/16', 'value': 62.11714553833008, 'error': 6.794137001037598}"
08/26/16 00:00:00,"{'date': '08/26/16', 'value': 62.93832969665527, 'error': 6.789423942565918}"
08/27/16 00:00:00,"{'date': '08/27/16', 'value': 63.228647232055664, 'error': 6.7878618240356445}"
08/28/16 00:00:00,"{'date': '08/28/16', 'value': 63.709500312805176, 'error': 6.787343978881836}"
08/29/16 00:00:00,"{'date': '08/29/16', 'value': 63.02397537231445, 'error': 6.787172317504883}"
08/30/16 00:00:00,"{'date': '08/30/16', 'value': 61.760366439819336, 'error': 6.787115097045898}"
08/31/16 00:00:00,"{'date': '08/31/16', 'value': 62.859867095947266, 'error': 6.78709602355957}"
09/01/16 00:00:00,"{'date': '09/01/16', 'value': 62.65342140197754, 'error': 6.787090301513672}"
09/02/16 00:00:00,"{'date': '09/02/16', 'value': 62.60197448730469, 'error': 6.787088394165039}"
09/03/16 00:00:00,"{'date': '09/03/16', 'value': 63.45833969116211, 'error': 6.787087440490723}"
09/04/16 00:00:00,"{'date': '09/04/16', 'value': 63.047101974487305, 'error': 10.699845314025879}"
09/05/16 00:00:00,"{'date': '09/05/16', 'value': 62.02840614318848, 'error': 7.924250602722168}"
09/06/16 00:00:00,"{'date': '09/06/16', 'value': 63.514400482177734, 'error': 7.149294853210449}"
09/07/16 00:00:00,"{'date': '09/07/16', 'value': 63.91712951660156, 'error': 6.905632972717285}"
09/08/16 00:00:00,"{'date': '09/08/16', 'value': 65.14990329742432, 'error': 6.826224327087402}"
09/09/16 00:00:00,"{'date': '09/09/16', 'value': 64.52437591552734, 'error': 6.800045013427734}"
09/10/16 00:00:00,"{'date': '09/10/16', 'value': 63.138999938964844, 'error': 6.791380882263184}"
09/11/16 00:00:00,"{'date': '09/11/16', 'value': 61.977577209472656, 'error': 6.788510322570801}"
09/12/16 00:00:00,"{'date': '09/12/16', 'value': 61.68051719665527, 'error': 6.787558555603027}"
09/13/16 00:00:00,"{'date': '09/13/16', 'value': 61.341012954711914, 'error': 10.700233459472656}"
09/14/16 00:00:00,"{'date': '09/14/16', 'value': 61.19278049468994, 'error': 7.924348831176758}"
09/15/16 00:00:00,"{'date': '09/15/16', 'value': 61.2519416809082, 'error': 7.149325370788574}"
09/16/16 00:00:00,"{'date': None, 'value': 0.0, 'error': 0.0}"
09/17/16 00:00:00,"{'date': None, 'value': 0.0, 'error': 0.0}"
09/18/16 00:00:00,"{'date': None, 'value': 0.0, 'error': 0.0}"
09/19/16 00:00:00,"{'date': '09/19/16', 'value': 61.98920154571533, 'error': 13.5646333694458}"
09/20/16 00:00:00,"{'date': '09/20/16', 'value': 64.18366622924805, 'error': 8.593585014343262}"
09/21/16 00:00:00,"{'date': '09/21/16', 'value': 66.70985126495361, 'error': 8.214948654174805}"
09/22/16 00:00:00,"{'date': '09/22/16', 'value': 64.99777412414551, 'error': 7.237361907958984}"
09/23/16 00:00:00,"{'date': '09/23/16', 'value': 66.7570571899414, 'error': 6.93399715423584}"
09/24/16 00:00:00,"{'date': '09/24/16', 'value': 66.80862808227539, 'error': 6.835539817810059}"
09/25/16 00:00:00,"{'date': '09/25/16', 'value': 64.86558246612549, 'error': 6.803123474121094}"
09/26/16 00:00:00,"{'date': '09/26/16', 'value': 64.17950630187988, 'error': 6.792401313781738}"
09/27/16 00:00:00,"{'date': '09/27/16', 'value': 64.50589656829834, 'error': 6.788848876953125}"
09/28/16 00:00:00,"{'date': '09/28/16', 'value': 64.45922565460205, 'error': 10.70129680633545}"
09/29/16 00:00:00,"{'date': '09/29/16', 'value': 62.47414302825928, 'error': 7.924619674682617}"
09/30/16 00:00:00,"{'date': '09/30/16', 'value': 61.368285179138184, 'error': 7.149407386779785}"
10/01/16 00:00:00,"{'date': '10/01/16', 'value': 61.52298164367676, 'error': 10.997563362121582}"
10/02/16 00:00:00,"{'date': '10/02/16', 'value': 63.18410873413086, 'error': 7.999390602111816}"
10/03/16 00:00:00,"{'date': '10/03/16', 'value': 63.46753787994385, 'error': 7.17222785949707}"
10/04/16 00:00:00,"{'date': '10/04/16', 'value': 63.626176834106445, 'error': 6.913036346435547}"
10/05/16 00:00:00,"{'date': '10/05/16', 'value': 63.27535915374756, 'error': 6.828657150268555}"
10/06/16 00:00:00,"{'date': '10/06/16', 'value': 62.95090293884277, 'error': 6.800848960876465}"
10/07/16 00:00:00,"{'date': '10/07/16', 'value': 62.826446533203125, 'error': 6.791647911071777}"
10/08/16 00:00:00,"{'date': '10/08/16', 'value': 62.810726165771484, 'error': 6.788599014282227}"
10/09/16 00:00:00,"{'date': '10/09/16', 'value': 62.53788185119629, 'error': 6.787588119506836}"
10/10/16 00:00:00,"{'date': '10/10/16', 'value': 63.14728260040283, 'error': 6.787253379821777}"
10/11/16 00:00:00,"{'date': '10/11/16', 'value': 61.32773494720459, 'error': 6.787141799926758}"
10/12/16 00:00:00,"{'date': '10/12/16', 'value': 63.84602928161621, 'error': 6.787105560302734}"
10/13/16 00:00:00,"{'date': '10/13/16', 'value': 64.70449638366699, 'error': 6.787093162536621}"
10/14/16 00:00:00,"{'date': '10/14/16', 'value': 65.9973669052124, 'error': 10.254435539245605}"
10/15/16 00:00:00,"{'date': '10/15/16', 'value': 63.8446044921875, 'error': 7.809162139892578}"
10/16/16 00:00:00,"{'date': '10/16/16', 'value': 63.959500312805176, 'error': 11.535381317138672}"
10/17/16 00:00:00,"{'date': '10/17/16', 'value': 64.21970844268799, 'error': 8.13164234161377}"
10/18/16 00:00:00,"{'date': '10/18/16', 'value': 65.48563385009766, 'error': 7.21230411529541}"
10/19/16 00:00:00,"{'date': '10/19/16', 'value': 65.27277565002441, 'error': 6.9259443283081055}"
10/20/16 00:00:00,"{'date': '10/20/16', 'value': 65.15412044525146, 'error': 10.814143180847168}"
10/21/16 00:00:00,"{'date': '10/21/16', 'value': 65.96244812011719, 'error': 7.953264236450195}"
10/22/16 00:00:00,"{'date': '10/22/16', 'value': 66.3860330581665, 'error': 7.158164024353027}"
10/23/16 00:00:00,"{'date': '10/23/16', 'value': 66.4764633178711, 'error': 6.9084978103637695}"
10/24/16 00:00:00,"{'date': '10/24/16', 'value': 65.6027135848999, 'error': 6.827166557312012}"
10/25/16 00:00:00,"{'date': '10/25/16', 'value': 65.83352661132812, 'error': 6.800356864929199}"
10/26/16 00:00:00,"{'date': '10/26/16', 'value': 65.9412317276001, 'error': 10.71077823638916}"
10/27/16 00:00:00,"{'date': '10/27/16', 'value': 63.50394535064697, 'error': 7.927034378051758}"
10/28/16 00:00:00,"{'date': '10/28/16', 'value': 62.20364952087402, 'error': 7.150146484375}"
10/29/16 00:00:00,"{'date': '10/29/16', 'value': 62.28592014312744, 'error': 6.9059085845947275}"
10/30/16 00:00:00,"{'date': '10/30/16', 'value': 62.439287185668945, 'error': 6.826314926147461}"
10/31/16 00:00:00,"{'date': '10/31/16', 'value': 62.41001033782959, 'error': 6.800074577331543}"
11/01/16 00:00:00,"{'date': '11/01/16', 'value': 63.91559886932373, 'error': 6.791391372680664}"
11/02/16 00:00:00,"{'date': '11/02/16', 'value': 62.80805778503418, 'error': 6.788514137268066}"
11/03/16 00:00:00,"{'date': '11/03/16', 'value': 62.262803077697754, 'error': 6.78756046295166}"
11/04/16 00:00:00,"{'date': '11/04/16', 'value': 60.971879959106445, 'error': 6.787243843078613}"
11/05/16 00:00:00,"{'date': '11/05/16', 'value': 61.77483558654785, 'error': 6.787138938903809}"
