activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,startTime,steps,tcxLink
922000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 11, 'name': 'very'}]",Walk,90013,106.0,127,https://api.fitbit.com/1/user/-/activities/calories/date/2017-05-15/2017-05-15/1min/time/9:48/10:03.json,922000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-05-15/2017-05-15/1sec/time/09:48:04/10:03:26.json,"[{'max': 99, 'min': 30, 'minutes': 3, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 12, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-05-15T14:15:22.000Z,7684701271,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",922000,2017-05-15,2017-05-15T09:48:04.000-04:00,1567,https://api.fitbit.com/1/user/-/activities/7684701271.tcx
1074000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 14, 'name': 'very'}]",Walk,90013,107.0,158,https://api.fitbit.com/1/user/-/activities/calories/date/2017-05-15/2017-05-15/1min/time/14:47/15:05.json,1074000,40.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-05-15/2017-05-15/1sec/time/14:47:37/15:05:31.json,"[{'max': 99, 'min': 30, 'minutes': 3, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 15, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-05-15T19:41:53.000Z,7690591328,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1074000,2017-05-15,2017-05-15T14:47:37.000-04:00,1876,https://api.fitbit.com/1/user/-/activities/7690591328.tcx
1792000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 12, 'name': 'fairly'}, {'minutes': 16, 'name': 'very'}]",Sport,15000,114.0,244,https://api.fitbit.com/1/user/-/activities/calories/date/2017-05-15/2017-05-15/1min/time/15:05/15:35.json,1792000,,https://api.fitbit.com/1/user/-/activities/heart/date/2017-05-15/2017-05-15/1sec/time/15:05:31/15:35:23.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 30, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-05-15T19:41:53.000Z,7690591330,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1792000,2017-05-15,2017-05-15T15:05:31.000-04:00,1710,https://api.fitbit.com/1/user/-/activities/7690591330.tcx
1946000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 8, 'name': 'fairly'}, {'minutes': 24, 'name': 'very'}]",Sport,15000,117.0,275,https://api.fitbit.com/1/user/-/activities/calories/date/2017-05-15/2017-05-15/1min/time/16:06/16:39.json,1946000,,https://api.fitbit.com/1/user/-/activities/heart/date/2017-05-15/2017-05-15/1sec/time/16:06:53/16:39:19.json,"[{'max': 99, 'min': 30, 'minutes': 1, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 32, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-05-15T20:48:40.000Z,7694055909,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1946000,2017-05-15,2017-05-15T16:06:53.000-04:00,1944,https://api.fitbit.com/1/user/-/activities/7694055909.tcx
1689000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 25, 'name': 'very'}]",Walk,90013,125.0,298,https://api.fitbit.com/1/user/-/activities/calories/date/2017-05-15/2017-05-15/1min/time/17:38/18:06.json,1689000,70.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-05-15/2017-05-15/1sec/time/17:38:17/18:06:26.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 19, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 6, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 2, 'name': 'Peak'}]",2017-05-15T22:17:30.000Z,7695474546,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1689000,2017-05-15,2017-05-15T17:38:17.000-04:00,2935,https://api.fitbit.com/1/user/-/activities/7695474546.tcx
1024000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 15, 'name': 'very'}]",Walk,90013,111.0,148,https://api.fitbit.com/1/user/-/activities/calories/date/2017-05-15/2017-05-15/1min/time/19:56/20:13.json,1024000,0.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-05-15/2017-05-15/1sec/time/19:56:30/20:13:34.json,"[{'max': 99, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 13, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 2, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-05-16T00:43:50.000Z,7697791776,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1024000,2017-05-15,2017-05-15T19:56:30.000-04:00,1576,https://api.fitbit.com/1/user/-/activities/7697791776.tcx
1690000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 8, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 17, 'name': 'very'}]",Walk,90013,108.0,231,https://api.fitbit.com/1/user/-/activities/calories/date/2017-05-15/2017-05-15/1min/time/20:49/21:17.json,1690000,30.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-05-15/2017-05-15/1sec/time/20:49:25/21:17:35.json,"[{'max': 99, 'min': 30, 'minutes': 7, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 21, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-05-16T01:43:10.000Z,7698773203,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1690000,2017-05-16,2017-05-15T20:49:25.000-04:00,2401,https://api.fitbit.com/1/user/-/activities/7698773203.tcx
921000,"[{'minutes': 3, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 8, 'name': 'very'}]",Walk,90013,102.0,103,https://api.fitbit.com/1/user/-/activities/calories/date/2017-05-16/2017-05-16/1min/time/11:44/11:59.json,921000,70.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-05-16/2017-05-16/1sec/time/11:44:34/11:59:55.json,"[{'max': 99, 'min': 30, 'minutes': 5, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 10, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-05-16T16:10:15.000Z,7708568675,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",921000,2017-05-16,2017-05-16T11:44:34.000-04:00,1123,https://api.fitbit.com/1/user/-/activities/7708568675.tcx
922000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 12, 'name': 'very'}]",Walk,90013,115.0,141,https://api.fitbit.com/1/user/-/activities/calories/date/2017-05-16/2017-05-16/1min/time/15:24/15:40.json,922000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-05-16/2017-05-16/1sec/time/15:24:44/15:40:06.json,"[{'max': 99, 'min': 30, 'minutes': 3, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 13, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-05-16T20:08:18.000Z,7715082390,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",922000,2017-05-16,2017-05-16T15:24:44.000-04:00,1552,https://api.fitbit.com/1/user/-/activities/7715082390.tcx
2611000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 4, 'name': 'lightly'}, {'minutes': 7, 'name': 'fairly'}, {'minutes': 31, 'name': 'very'}]",Walk,90013,99.0,348,https://api.fitbit.com/1/user/-/activities/calories/date/2017-05-16/2017-05-16/1min/time/17:39/18:23.json,2611000,50.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-05-16/2017-05-16/1sec/time/17:39:34/18:23:05.json,"[{'max': 99, 'min': 30, 'minutes': 22, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 21, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 1, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-05-17T00:04:58.000Z,7718568983,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",2611000,2017-05-16,2017-05-16T17:39:34.000-04:00,4101,https://api.fitbit.com/1/user/-/activities/7718568983.tcx
