activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,startTime,steps,tcxLink
1491000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 22, 'name': 'very'}]",Walk,90013,116.0,242,https://api.fitbit.com/1/user/-/activities/calories/date/2016-06-01/2016-06-01/1min/time/8:06/8:30.json,1491000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-06-01/2016-06-01/1sec/time/08:06:08/08:30:59.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 24, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-06-02T00:32:55.000Z,2811323298,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1491000,2016-06-01,2016-06-01T08:06:08.000-04:00,2286.0,https://api.fitbit.com/1/user/-/activities/2811323298.tcx
1080000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 15, 'name': 'very'}]",Walk,90013,111.0,175,https://api.fitbit.com/1/user/-/activities/calories/date/2016-06-01/2016-06-01/1min/time/20:10/20:28.json,1080000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-06-01/2016-06-01/1sec/time/20:10:26/20:28:26.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 18, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-06-02T00:32:55.000Z,2811323300,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1080000,2016-06-02,2016-06-01T20:10:26.000-04:00,1685.0,https://api.fitbit.com/1/user/-/activities/2811323300.tcx
976000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 17, 'name': 'very'}]",Walk,90013,121.0,182,https://api.fitbit.com/1/user/-/activities/calories/date/2016-06-01/2016-06-01/1min/time/22:47/23:04.json,976000,30.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-06-01/2016-06-01/1sec/time/22:47:52/23:04:08.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 17, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-06-02T04:58:15.000Z,2813183196,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",976000,2016-06-02,2016-06-01T22:47:52.000-04:00,1638.0,https://api.fitbit.com/1/user/-/activities/2813183196.tcx
1388000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 18, 'name': 'very'}]",Walk,90013,112.0,218,https://api.fitbit.com/1/user/-/activities/calories/date/2016-06-02/2016-06-02/1min/time/8:04/8:27.json,1388000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-06-02/2016-06-02/1sec/time/08:04:36/08:27:44.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 23, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-06-02T14:12:46.000Z,2816310599,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1388000,2016-06-02,2016-06-02T08:04:36.000-04:00,2162.0,https://api.fitbit.com/1/user/-/activities/2816310599.tcx
2519000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 7, 'name': 'lightly'}, {'minutes': 8, 'name': 'fairly'}, {'minutes': 27, 'name': 'very'}]",Walk,90013,,357,https://api.fitbit.com/1/user/-/activities/calories/date/2016-06-02/2016-06-02/1min/time/17:52/18:34.json,2519000,10.0,,,2016-06-03T21:16:54.000Z,2830993268,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",2519000,2016-06-02,2016-06-02T17:52:29.000-04:00,3636.0,
1286000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 19, 'name': 'very'}]",Walk,90013,113.0,210,https://api.fitbit.com/1/user/-/activities/calories/date/2016-06-03/2016-06-03/1min/time/8:09/8:31.json,1286000,0.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-06-03/2016-06-03/1sec/time/08:09:53/08:31:19.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 22, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-06-03T21:16:54.000Z,2830993269,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1286000,2016-06-03,2016-06-03T08:09:53.000-04:00,2160.0,https://api.fitbit.com/1/user/-/activities/2830993269.tcx
2210000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 7, 'name': 'fairly'}, {'minutes': 28, 'name': 'very'}]",Walk,90013,106.0,326,https://api.fitbit.com/1/user/-/activities/calories/date/2016-06-03/2016-06-03/1min/time/16:10/16:47.json,2210000,60.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-06-03/2016-06-03/1sec/time/16:10:54/16:47:44.json,"[{'max': 99, 'min': 30, 'minutes': 4, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 33, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-06-03T21:16:54.000Z,2830993270,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",2210000,2016-06-03,2016-06-03T16:10:54.000-04:00,3419.0,https://api.fitbit.com/1/user/-/activities/2830993270.tcx
1749000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 20, 'name': 'fairly'}, {'minutes': 9, 'name': 'very'}]",Aerobic Workout,3001,113.0,230,https://api.fitbit.com/1/user/-/activities/calories/date/2016-06-04/2016-06-04/1min/time/16:20/16:49.json,1749000,,https://api.fitbit.com/1/user/-/activities/heart/date/2016-06-04/2016-06-04/1sec/time/16:20:05/16:49:14.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 29, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-06-04T22:49:01.000Z,2841750460,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1749000,2016-06-04,2016-06-04T16:20:05.000-04:00,1274.0,https://api.fitbit.com/1/user/-/activities/2841750460.tcx
1081000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Outdoor Bike,1071,123.0,168,https://api.fitbit.com/1/user/-/activities/calories/date/2016-06-04/2016-06-04/1min/time/18:15/18:33.json,1081000,20.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-06-04/2016-06-04/1sec/time/18:15:56/18:33:57.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 18, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-06-04T22:49:01.000Z,2841750462,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1081000,2016-06-04,2016-06-04T18:15:56.000-04:00,,https://api.fitbit.com/1/user/-/activities/2841750462.tcx
1902000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 10, 'name': 'lightly'}, {'minutes': 12, 'name': 'fairly'}, {'minutes': 9, 'name': 'very'}]",Outdoor Bike,1071,113.0,248,https://api.fitbit.com/1/user/-/activities/calories/date/2016-06-07/2016-06-07/1min/time/17:37/18:09.json,1902000,40.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-06-07/2016-06-07/1sec/time/17:37:40/18:09:22.json,"[{'max': 99, 'min': 30, 'minutes': 4, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 28, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-06-08T04:30:51.000Z,2882462989,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1902000,2016-06-07,2016-06-07T17:37:40.000-04:00,,https://api.fitbit.com/1/user/-/activities/2882462989.tcx
