activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,distance,distanceUnit,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,source,startTime,steps,tcxLink
5073000,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 9, 'name': 'lightly'}, {'minutes': 37, 'name': 'fairly'}, {'minutes': 36, 'name': 'very'}]",Weights,2131,116,628,https://api.fitbit.com/1/user/-/activities/calories/date/2018-12-26/2018-12-26/1min/time/19:37/21:02.json,0.706339,Mile,5086000,50.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-12-26/2018-12-26/1sec/time/19:37:33/21:02:19.json,"[{'max': 98, 'min': 30, 'minutes': 1, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 84, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-12-27T03:16:39.000Z,18838401677,tracker,"{'calories': False, 'distance': False, 'steps': False}",5086000,2018-12-26T19:37:33.000-06:00,"{'id': '133268675', 'name': 'Charge 3', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2018-12-26T19:37:33.000-06:00,1744,https://api.fitbit.com/1/user/-/activities/18838401677.tcx
3661000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 20, 'name': 'fairly'}, {'minutes': 37, 'name': 'very'}]",Weights,2131,125,527,https://api.fitbit.com/1/user/-/activities/calories/date/2018-12-29/2018-12-29/1min/time/9:35/10:36.json,0.896954,Mile,3664000,67.001312,https://api.fitbit.com/1/user/-/activities/heart/date/2018-12-29/2018-12-29/1sec/time/09:35:27/10:36:31.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 50, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 10, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 1, 'name': 'Peak'}]",2018-12-29T16:43:34.000Z,18902441134,tracker,"{'calories': False, 'distance': False, 'steps': False}",3664000,2018-12-29T09:35:27.000-06:00,"{'id': '133268675', 'name': 'Charge 3', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2018-12-29T09:35:27.000-06:00,2053,https://api.fitbit.com/1/user/-/activities/18902441134.tcx
8222000,"[{'minutes': 18, 'name': 'sedentary'}, {'minutes': 46, 'name': 'lightly'}, {'minutes': 31, 'name': 'fairly'}, {'minutes': 42, 'name': 'very'}]",Weights,2131,114,913,https://api.fitbit.com/1/user/-/activities/calories/date/2019-01-02/2019-01-02/1min/time/18:34/20:51.json,1.45312,Mile,8224000,82.998688,https://api.fitbit.com/1/user/-/activities/heart/date/2019-01-02/2019-01-02/1sec/time/18:34:30/20:51:34.json,"[{'max': 98, 'min': 30, 'minutes': 6, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 127, 'name': 'Fat Burn'}, {'max': 166, 'min': 137, 'minutes': 3, 'name': 'Cardio'}, {'max': 220, 'min': 166, 'minutes': 1, 'name': 'Peak'}]",2019-01-03T02:52:24.000Z,18974217350,tracker,"{'calories': False, 'distance': False, 'steps': False}",8224000,2019-01-02T18:34:30.000-06:00,"{'id': '133268675', 'name': 'Charge 3', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2019-01-02T18:34:30.000-06:00,3470,https://api.fitbit.com/1/user/-/activities/18974217350.tcx
8027000,"[{'minutes': 4, 'name': 'sedentary'}, {'minutes': 18, 'name': 'lightly'}, {'minutes': 46, 'name': 'fairly'}, {'minutes': 65, 'name': 'very'}]",Weights,2131,120,1040,https://api.fitbit.com/1/user/-/activities/calories/date/2019-01-04/2019-01-04/1min/time/8:12/10:26.json,1.358521,Mile,8029000,111.000656,https://api.fitbit.com/1/user/-/activities/heart/date/2019-01-04/2019-01-04/1sec/time/08:12:50/10:26:39.json,"[{'max': 98, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 119, 'name': 'Fat Burn'}, {'max': 166, 'min': 137, 'minutes': 13, 'name': 'Cardio'}, {'max': 220, 'min': 166, 'minutes': 0, 'name': 'Peak'}]",2019-01-04T16:36:35.000Z,19000886141,tracker,"{'calories': False, 'distance': False, 'steps': False}",8029000,2019-01-04T08:12:50.000-06:00,"{'id': '133268675', 'name': 'Charge 3', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2019-01-04T08:12:50.000-06:00,3126,https://api.fitbit.com/1/user/-/activities/19000886141.tcx
1331000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 18, 'name': 'very'}]",Walk,90013,110,185,https://api.fitbit.com/1/user/-/activities/calories/date/2019-01-06/2019-01-06/1min/time/10:48/11:10.json,,,1331000,0.0,https://api.fitbit.com/1/user/-/activities/heart/date/2019-01-06/2019-01-06/1sec/time/10:48:30/11:10:41.json,"[{'max': 98, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 20, 'name': 'Fat Burn'}, {'max': 166, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 166, 'minutes': 0, 'name': 'Peak'}]",2019-01-06T17:14:37.000Z,19050710019,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1331000,2019-01-06T10:48:30.000-06:00,,2019-01-06T10:48:30.000-06:00,2070,https://api.fitbit.com/1/user/-/activities/19050710019.tcx
2816000,"[{'minutes': 4, 'name': 'sedentary'}, {'minutes': 11, 'name': 'lightly'}, {'minutes': 15, 'name': 'fairly'}, {'minutes': 16, 'name': 'very'}]",Walk,90013,105,320,https://api.fitbit.com/1/user/-/activities/calories/date/2019-01-06/2019-01-06/1min/time/17:39/18:26.json,,,2816000,60.0,https://api.fitbit.com/1/user/-/activities/heart/date/2019-01-06/2019-01-06/1sec/time/17:39:48/18:26:44.json,"[{'max': 98, 'min': 30, 'minutes': 19, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 28, 'name': 'Fat Burn'}, {'max': 166, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 166, 'minutes': 0, 'name': 'Peak'}]",2019-01-07T00:44:57.000Z,19058414339,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",2816000,2019-01-06T17:39:48.000-06:00,,2019-01-06T17:39:48.000-06:00,2992,https://api.fitbit.com/1/user/-/activities/19058414339.tcx
2149000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 4, 'name': 'lightly'}, {'minutes': 9, 'name': 'fairly'}, {'minutes': 22, 'name': 'very'}]",Walk,90013,111,292,https://api.fitbit.com/1/user/-/activities/calories/date/2019-01-07/2019-01-07/1min/time/9:53/10:29.json,,,2149000,70.0,https://api.fitbit.com/1/user/-/activities/heart/date/2019-01-07/2019-01-07/1sec/time/09:53:46/10:29:35.json,"[{'max': 98, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 34, 'name': 'Fat Burn'}, {'max': 166, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 166, 'minutes': 0, 'name': 'Peak'}]",2019-01-07T15:46:02.000Z,19067953925,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",2149000,2019-01-07T09:53:46.000-05:00,,2019-01-07T09:53:46.000-05:00,3090,https://api.fitbit.com/1/user/-/activities/19067953925.tcx
1842000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 27, 'name': 'very'}]",Walk,90013,118,291,https://api.fitbit.com/1/user/-/activities/calories/date/2019-01-07/2019-01-07/1min/time/10:54/11:25.json,,,1842000,150.0,https://api.fitbit.com/1/user/-/activities/heart/date/2019-01-07/2019-01-07/1sec/time/10:54:21/11:25:03.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 31, 'name': 'Fat Burn'}, {'max': 166, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 166, 'minutes': 0, 'name': 'Peak'}]",2019-01-07T17:10:43.000Z,19069887041,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1842000,2019-01-07T10:54:21.000-05:00,,2019-01-07T10:54:21.000-05:00,3253,https://api.fitbit.com/1/user/-/activities/19069887041.tcx
1075000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 16, 'name': 'very'}]",Walk,90013,124,170,https://api.fitbit.com/1/user/-/activities/calories/date/2019-01-07/2019-01-07/1min/time/16:15/16:33.json,,,1075000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2019-01-07/2019-01-07/1sec/time/16:15:12/16:33:07.json,"[{'max': 98, 'min': 30, 'minutes': 1, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 16, 'name': 'Fat Burn'}, {'max': 166, 'min': 137, 'minutes': 1, 'name': 'Cardio'}, {'max': 220, 'min': 166, 'minutes': 0, 'name': 'Peak'}]",2019-01-07T21:51:49.000Z,19076956124,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1075000,2019-01-07T16:15:12.000-05:00,,2019-01-07T16:15:12.000-05:00,1835,https://api.fitbit.com/1/user/-/activities/19076956124.tcx
5790000,"[{'minutes': 12, 'name': 'sedentary'}, {'minutes': 12, 'name': 'lightly'}, {'minutes': 32, 'name': 'fairly'}, {'minutes': 40, 'name': 'very'}]",Weights,2131,119,667,https://api.fitbit.com/1/user/-/activities/calories/date/2019-01-08/2019-01-08/1min/time/8:08/9:44.json,0.865934,Mile,5792000,126.000656,https://api.fitbit.com/1/user/-/activities/heart/date/2019-01-08/2019-01-08/1sec/time/08:08:17/09:44:49.json,"[{'max': 98, 'min': 30, 'minutes': 6, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 83, 'name': 'Fat Burn'}, {'max': 166, 'min': 137, 'minutes': 7, 'name': 'Cardio'}, {'max': 220, 'min': 166, 'minutes': 0, 'name': 'Peak'}]",2019-01-08T14:51:34.000Z,19087140206,tracker,"{'calories': False, 'distance': False, 'steps': False}",5792000,2019-01-08T08:08:17.000-05:00,"{'id': '133268675', 'name': 'Charge 3', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2019-01-08T08:08:17.000-05:00,2197,https://api.fitbit.com/1/user/-/activities/19087140206.tcx
