"timestamp","author","duration","source.title","source.url","tag","frequency.unit","frequency.@value","@id","version"
"2016-07-12T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","62","6o1l0tau48","1"
"2016-07-13T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","63","qa5086sqv5","1"
"2016-07-14T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","62","7q48r5r1qa","1"
"2016-07-15T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","63","esvpdi2v0a","1"
"2016-07-16T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","64","gro5g2am75","1"
"2016-07-17T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","64","mk839uripv","1"
"2016-07-18T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","62","fehi0ns9p5","1"
"2016-07-19T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","63","upv9m2er3k","1"
"2016-07-20T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","63","u7bk1ce8oi","1"
"2016-07-21T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","63","rv9ptb6ei9","1"
"2016-07-22T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","64","jpnn88hgtm","1"
"2016-07-23T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","64","7cjjkh9cpc","1"
"2016-07-24T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","63","g4mbv2rfrg","1"
"2016-07-25T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","62","hmb0ljlgco","1"
"2016-07-26T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","62","8a7kiajneq","1"
"2016-07-27T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","62","nois81jeso","1"
"2016-07-28T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","62","fjqiajnkqv","1"
"2016-07-29T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","62","60al2fuedi","1"
"2016-07-30T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","62","s290aa9pnj","1"
"2016-07-31T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","62","2l6kcvbtr1","1"
"2016-08-01T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","60","2fch81mkpq","1"
"2016-08-02T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","60","r38b4sgqrq","1"
"2016-08-03T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","61","ao5ojrft00","1"
"2016-08-04T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","62","lg930pru1o","1"
"2016-08-05T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","63","sg9982ff88","1"
"2016-08-06T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","63","br91hvsefb","1"
"2016-08-07T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","64","nhsqp1m2lp","1"
"2016-08-08T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","62","tgvu8ip7kv","1"
"2016-08-09T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","61","km6co4pf5q","1"
"2016-08-10T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","62","e38sh573ft","1"
"2016-08-11T00:00:00.000-04:00","hl2qqta9el","86400000","Fitbit","http://fitbit.com/","heart rate","bpm","63","bskvrod4u6","1"
