id,date,weekday,last_workout_date,last_category_date,category,primary_lift,volume,mean_reps,completion_rate,age
39,2014-09-06,Saturday,3 days 00:00:00.000000000,19 days 00:00:00.000000000,Back,Bent Over Row,17840.0,12.933333333333334,1.0,19
40,2014-10-17,Friday,41 days 00:00:00.000000000,41 days 00:00:00.000000000,Back,Lat Pulldown,11850.0,13.333333333333334,1.0,19
41,2014-10-18,Saturday,1 days 00:00:00.000000000,45 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,5300.0,14.0,1.0,19
42,2014-11-21,Friday,34 days 00:00:00.000000000,101 days 00:00:00.000000000,Abs,Undefined Ab Workout,1.0,1.0,1.0,19
43,2014-11-30,Sunday,9 days 00:00:00.000000000,43 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,6225.0,7.3076923076923075,1.0,19
44,2014-12-18,Thursday,18 days 00:00:00.000000000,18 days 00:00:00.000000000,Chest,Flat Dumbbell Bench Press,6055.0,9.4,1.0,19
45,2014-12-19,Friday,1 days 00:00:00.000000000,150 days 00:00:00.000000000,Legs,Dumbbell Calf Raise,3400.0,10.0,1.0,19
46,2014-12-20,Saturday,1 days 00:00:00.000000000,64 days 00:00:00.000000000,Back,Lat Pulldown,3662.0,6.8,1.0,19
47,2014-12-22,Monday,2 days 00:00:00.000000000,31 days 00:00:00.000000000,Abs,Undefined Ab Workout,1.0,1.0,1.0,19
48,2014-12-26,Friday,4 days 00:00:00.000000000,6 days 00:00:00.000000000,Back,Lat Pulldown,10583.0,8.045454545454545,1.0,19
49,2014-12-27,Saturday,1 days 00:00:00.000000000,8 days 00:00:00.000000000,Legs,Dumbbell Lunges,1401.0,7.75,1.0,19
50,2014-12-29,Monday,2 days 00:00:00.000000000,2 days 00:00:00.000000000,Legs,Dumbbell Lunges,1451.0,7.75,1.0,19
51,2014-12-30,Tuesday,1 days 00:00:00.000000000,12 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,9014.0,7.615384615384615,1.0,19
52,2014-12-31,Wednesday,1 days 00:00:00.000000000,5 days 00:00:00.000000000,Back,Lat Pulldown,4196.0,7.3,1.0,19
53,2015-01-02,Friday,2 days 00:00:00.000000000,11 days 00:00:00.000000000,Abs,Undefined Ab Workout,1.0,1.0,1.0,20
54,2015-01-03,Saturday,1 days 00:00:00.000000000,5 days 00:00:00.000000000,Legs,Dumbbell Lunges,1550.0,10.0,1.0,20
55,2015-01-05,Monday,2 days 00:00:00.000000000,6 days 00:00:00.000000000,Chest,Flat Dumbbell Bench Press,3450.0,10.0,1.0,20
56,2015-01-06,Tuesday,1 days 00:00:00.000000000,6 days 00:00:00.000000000,Back,Lat Pulldown,13320.0,9.857142857142858,1.0,20
57,2015-01-09,Friday,3 days 00:00:00.000000000,3 days 00:00:00.000000000,Back,Deadlift,4951.0,9.0,1.0,20
58,2015-01-12,Monday,3 days 00:00:00.000000000,7 days 00:00:00.000000000,Chest,Flat Dumbbell Bench Press,1000.0,10.0,1.0,20
59,2015-01-13,Tuesday,1 days 00:00:00.000000000,11 days 00:00:00.000000000,Abs,Undefined Ab Workout,1.0,1.0,1.0,20
60,2015-02-15,Sunday,33 days 00:00:00.000000000,34 days 00:00:00.000000000,Chest,Flat Dumbbell Bench Press,3835.0,7.3076923076923075,1.0,20
61,2015-03-03,Tuesday,16 days 00:00:00.000000000,53 days 00:00:00.000000000,Back,Lat Pulldown,9700.0,9.0,1.0,20
62,2015-03-15,Sunday,12 days 00:00:00.000000000,71 days 00:00:00.000000000,Legs,Hip Abduction,13050.0,10.0,1.0,20
63,2015-03-16,Monday,1 days 00:00:00.000000000,217 days 00:00:00.000000000,Cardio,Cardio,0.0,,1.0,20
64,2015-03-18,Wednesday,2 days 00:00:00.000000000,64 days 00:00:00.000000000,Abs,Undefined Ab Workout,1.0,1.0,1.0,20
65,2015-03-19,Thursday,1 days 00:00:00.000000000,32 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,4690.0,7.428571428571429,1.0,20
66,2015-03-20,Friday,1 days 00:00:00.000000000,0 days 00:00:00.000000000,Cooldown,Cooldown And Stretch,1.0,1.0,1.0,20
67,2015-03-21,Saturday,1 days 00:00:00.000000000,18 days 00:00:00.000000000,Back,Lat Pulldown,7285.0,8.333333333333334,1.0,20
68,2015-03-24,Tuesday,3 days 00:00:00.000000000,9 days 00:00:00.000000000,Legs,Hip Abduction,14300.0,10.0,1.0,20
69,2015-03-27,Friday,3 days 00:00:00.000000000,8 days 00:00:00.000000000,Chest,Flat Dumbbell Bench Press,2125.0,7.5,1.0,20
70,2015-03-28,Saturday,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Back,Lat Pulldown,8103.0,6.923076923076923,1.0,20
71,2015-06-20,Saturday,84 days 00:00:00.000000000,85 days 00:00:00.000000000,Chest,Rope Push Down,6300.0,10.0,1.0,20
72,2015-06-21,Sunday,1 days 00:00:00.000000000,85 days 00:00:00.000000000,Back,Dumbbell Curl,2600.0,10.0,1.0,20
73,2015-06-22,Monday,1 days 00:00:00.000000000,1 days 00:00:00.000000000,Back,Lat Pulldown,10550.0,10.0,1.0,20
74,2015-06-24,Wednesday,2 days 00:00:00.000000000,92 days 00:00:00.000000000,Legs,Leg Press,12000.0,10.0,1.0,20
75,2015-07-24,Friday,30 days 00:00:00.000000000,32 days 00:00:00.000000000,Back,Flat Barbell Bench Press,10810.0,8.4,1.0,20
76,2015-07-25,Saturday,1 days 00:00:00.000000000,31 days 00:00:00.000000000,Legs,Dumbbell Calf Raise,9160.0,8.578947368421053,0.8421052631578947,20
77,2015-07-26,Sunday,1 days 00:00:00.000000000,2 days 00:00:00.000000000,Back,Lat Pulldown,7675.0,10.0,1.0,20
78,2015-07-27,Monday,1 days 00:00:00.000000000,37 days 00:00:00.000000000,Chest,Rope Push Down,4115.0,7.363636363636363,1.0,20
79,2015-07-29,Wednesday,2 days 00:00:00.000000000,3 days 00:00:00.000000000,Back,Deadlift,4545.0,7.75,1.0,20
80,2015-10-17,Saturday,80 days 00:00:00.000000000,80 days 00:00:00.000000000,Back,Lat Pulldown,7700.0,10.0,1.0,20
81,2015-11-01,Sunday,15 days 00:00:00.000000000,97 days 00:00:00.000000000,Chest,Flat Dumbbell Bench Press,2850.0,10.0,1.0,20
82,2015-12-22,Tuesday,51 days 00:00:00.000000000,51 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,12065.0,9.095238095238095,1.0,20
83,2015-12-23,Wednesday,1 days 00:00:00.000000000,67 days 00:00:00.000000000,Back,Barbell Row,5260.0,10.222222222222221,1.0,20
84,2015-12-24,Thursday,1 days 00:00:00.000000000,283 days 00:00:00.000000000,Cardio,Cardio,0.0,,1.0,20
85,2015-12-26,Saturday,2 days 00:00:00.000000000,4 days 00:00:00.000000000,Chest,Close Grip Barbell Bench Press,15175.0,11.2,1.0,20
86,2015-12-28,Monday,2 days 00:00:00.000000000,156 days 00:00:00.000000000,Legs,Deadlift,15080.0,8.75,1.0,20
87,2015-12-30,Wednesday,2 days 00:00:00.000000000,4 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,12050.0,9.294117647058824,1.0,20
88,2016-01-02,Saturday,3 days 00:00:00.000000000,10 days 00:00:00.000000000,Back,Seated Back Extension,22080.0,10.916666666666666,1.0,21
89,2016-01-04,Monday,2 days 00:00:00.000000000,5 days 00:00:00.000000000,Chest,Close Grip Barbell Bench Press,19227.5,10.387096774193548,1.0,21
90,2016-01-05,Tuesday,1 days 00:00:00.000000000,8 days 00:00:00.000000000,Legs,Barbell Squat,16265.0,9.5,1.0,21
