date,one_rep_max,mean_reps,routine,completion_rate,total_volume,max_weight,workout_day
2016-01-11,266.0,9.96551724137931,n/a,0.9655172413793104,22431.0,190.0,Back
2016-01-14,0.0,1.0,n/a,0.0,0.0,0.0,Cardio
2016-01-21,154.0,10.0,n/a,1.0,9300.0,110.0,Shoulders
2016-02-04,198.33333333333334,8.88888888888889,n/a,1.0,13650.0,170.0,Chest
2016-02-09,196.0,8.071428571428571,n/a,1.0,10687.5,140.0,Back
2016-02-16,192.5,12.75,n/a,0.75,14480.0,165.0,Legs
2016-02-18,154.0,8.625,n/a,1.0,11812.0,110.0,Shoulders
2016-03-15,210.0,5.0,n/a,1.0,5850.0,180.0,Chest
2016-03-16,97.5,5.333333333333333,n/a,1.0,2915.0,75.0,Back
2016-03-22,215.83333333333334,5.0,n/a,1.0,6075.0,185.0,Legs
2016-03-24,239.16666666666666,4.111111111111111,n/a,1.0,6245.0,205.0,Chest
2016-03-31,196.0,7.4,n/a,1.0,5420.0,140.0,Back
2016-04-01,120.33333333333333,8.6,n/a,1.0,6707.0,95.0,Chest
2016-04-05,240.0,10.833333333333334,n/a,1.0,24300.0,190.0,Legs
2016-04-12,221.66666666666666,8.642857142857142,n/a,1.0,9815.0,190.0,Chest
2016-04-13,210.0,5.958333333333333,n/a,1.0,13690.0,150.0,Back
2016-04-15,246.66666666666666,11.647058823529411,n/a,1.0,26055.0,200.0,Legs
2016-04-16,168.0,8.944444444444445,n/a,1.0,12940.0,120.0,Chest
2016-04-19,260.0,11.0,n/a,1.0,27830.0,205.0,Legs
2016-04-22,227.5,7.3,n/a,1.0,8155.0,195.0,Chest
2016-04-23,210.0,8.222222222222221,n/a,1.0,7490.0,150.0,Back
2016-04-24,152.0,8.0,n/a,1.0,4440.0,120.0,Shoulders
2016-05-03,266.6666666666667,11.0,n/a,1.0,28755.0,210.0,Legs
2016-05-16,250.83333333333334,11.125,n/a,1.0,24230.0,215.0,Legs
2016-05-17,233.33333333333334,8.666666666666666,n/a,1.0,14815.0,200.0,Chest
2016-05-18,217.0,9.090909090909092,n/a,1.0,17315.0,155.0,Back
2016-05-20,120.33333333333333,9.25,n/a,1.0,4630.0,95.0,Chest
2016-05-24,239.16666666666666,8.4,n/a,1.0,14190.0,205.0,Chest
2016-05-25,256.6666666666667,10.9375,n/a,1.0,24600.0,220.0,Legs
2016-06-01,206.66666666666666,9.857142857142858,n/a,1.0,18010.0,155.0,Back
2016-06-04,245.0,8.125,n/a,1.0,13895.0,210.0,Chest
2016-06-06,189.0,12.0,n/a,1.0,21000.0,135.0,Chest
2016-06-08,262.5,10.947368421052632,n/a,1.0,29530.0,225.0,Legs
2016-06-10,202.66666666666666,9.65,n/a,1.0,17010.0,160.0,Back
2016-06-11,250.83333333333334,5.0,n/a,1.0,3450.0,215.0,Chest
2016-06-13,107.66666666666667,9.846153846153847,n/a,1.0,7040.0,85.0,Chest
2016-06-16,268.3333333333333,10.523809523809524,n/a,1.0,33170.0,230.0,Legs
2016-06-18,250.83333333333334,8.0,n/a,1.0,18685.0,215.0,Chest
2016-06-22,209.0,7.958333333333333,n/a,1.0,20630.0,165.0,Chest
2016-06-23,213.33333333333334,9.8,n/a,1.0,11930.0,160.0,Back
2016-06-24,282.0,4.875,n/a,1.0,8325.0,235.0,Legs
2016-06-25,268.3333333333333,5.695652173913044,n/a,1.0,23130.0,230.0,Chest
2016-06-29,120.0,12.75,n/a,1.0,17040.0,80.0,Chest
