date,routine,category,exercise,sets,reps,avg_intensity,volume,relative_volume
2015-01-02,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2015-01-03,,Legs,Dumbbell Lunge,3,30,0.7033333333333335,1550.0,1092.0
2015-01-05,,Chest,Flat Dumbbell Bench Press,6,60,0.7200000000000001,3450.0,2487.0
2015-01-06,,Back,Deadlift,4,40,0.72,5200.0,3748.0
2015-01-06,,Back,Lat Pulldown,3,30,0.6999999999999998,4200.0,2937.0
2015-01-06,,Shoulders,Rear Delt Machine Fly,4,48,0.6799999999999999,3900.0,2653.0
2015-01-09,,Back,Deadlift,1,10,0.72,1300.0,936.0
2015-01-09,,Legs,Dumbbell Lunge,4,40,0.7325,2150.0,1576.0
2015-01-09,,Back,Dumbbell Row,3,30,0.75,1500.0,1125.0
2015-01-09,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2015-01-12,,Chest,Flat Dumbbell Bench Press,2,20,0.62,1000.0,620.0
2015-01-13,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2015-02-15,,Biceps,Dumbbell Curl,5,30,0.724,870.0,632.0
2015-02-15,,Chest,Flat Dumbbell Bench Press,8,65,0.68125,2965.0,2024.0
2015-03-03,,Back,Lat Pulldown,9,81,0.691111111111111,9700.0,6719.0
2015-03-15,,Legs,Dumbbell Calf Raise,5,50,0.75,4500.0,3375.0
2015-03-15,,Legs,Dumbbell Lunge,3,30,0.75,1350.0,1011.0
2015-03-15,,Legs,Hip Abduction,3,30,0.75,5250.0,3936.0
2015-03-15,,Legs,Hip Adduction,3,30,0.75,1950.0,1461.0
2015-03-18,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2015-03-19,,Shoulders,Dumbbell Shoulder Press,3,24,0.79,720.0,567.0
2015-03-19,,Chest,Flat Barbell Bench Press,4,28,0.7975,3970.0,3129.0
2015-03-20,,Cooldown,Cooldown And Stretch,1,1,1.0,1.0,1.0
2015-03-21,,Biceps,Dumbbell Hammer Curl,3,25,0.7466666666666666,525.0,383.0
2015-03-21,,Back,Lat Pulldown,6,50,0.7250000000000001,6760.0,4913.0
2015-03-24,,Legs,Dumbbell Calf Raise,5,50,0.75,5000.0,3750.0
2015-03-24,,Legs,Dumbbell Lunge,4,40,0.675,1800.0,1260.0
2015-03-24,,Legs,Hip Abduction,3,30,0.75,5400.0,4050.0
2015-03-24,,Legs,Hip Adduction,3,30,0.75,2100.0,1575.0
2015-03-27,,Chest,Flat Dumbbell Bench Press,6,45,0.6583333333333333,2125.0,1420.0
2015-03-28,,Biceps,Dumbbell Hammer Curl,4,22,0.75,495.0,372.0
2015-03-28,,Back,Lat Pulldown,3,30,0.7333333333333334,4400.0,3229.0
2015-03-28,,Back,Seated Cable Row,3,30,0.7266666666666667,3200.0,2330.0
2015-06-20,,Biceps,Dumbbell Curl,4,40,0.665,1250.0,835.0
2015-06-20,,Legs,Dumbbell Lunge,4,40,0.6925,1850.0,1291.0
2015-06-20,,Triceps,Rope Push Down,4,40,0.6675,3200.0,2153.0
2015-06-21,,Biceps,Dumbbell Curl,4,40,0.6900000000000001,1300.0,902.0
2015-06-21,,Shoulders,Dumbbell Shoulder Press,4,40,0.6900000000000001,1300.0,902.0
2015-06-22,,Back,Dumbbell Row,4,40,0.6675,1600.0,1076.0
2015-06-22,,Chest,Flat Dumbbell Bench Press,4,40,0.73,1950.0,1426.0
2015-06-22,,Chest,Incline Dumbbell Bench Press,4,40,0.7075,1700.0,1214.0
2015-06-22,,Back,Lat Pulldown,4,40,0.71,5300.0,3777.0
2015-06-24,,Legs,Barbell Squat,2,20,0.685,2100.0,1451.0
2015-06-24,,Legs,Leg Press,4,40,0.6875,9900.0,6975.0
2015-07-24,,Back,Dumbbell Row,4,40,0.6875,2200.0,1550.0
2015-07-24,,Chest,Flat Barbell Bench Press,3,16,0.8166666666666668,2510.0,2051.0
2015-07-24,,Chest,Flat Dumbbell Bench Press,4,40,0.7,2050.0,1456.0
2015-07-24,,Back,Lat Pulldown,4,30,0.7250000000000001,4050.0,2938.0
2015-07-25,,Legs,Dumbbell Calf Raise,4,40,0.75,4800.0,3600.0
2015-07-25,,Biceps,Dumbbell Curl,3,30,0.7066666666666667,1000.0,710.0
2015-07-25,,Legs,Dumbbell Lunge,4,40,0.73,1950.0,1426.0
2015-07-25,,Triceps,Rope Push Down,2,20,0.75,1400.0,1050.0
2015-07-26,,Shoulders,Dumbbell Shoulder Press,4,40,0.6675,1600.0,1076.0
2015-07-26,,Back,Lat Pulldown,4,40,0.7375,5900.0,4354.0
2015-07-26,,Shoulders,Lateral Dumbbell Raise,1,10,0.76,175.0,133.0
2015-07-27,,Biceps,Dumbbell Curl,4,31,0.7175,1005.0,701.0
2015-07-27,,Triceps,Rope Push Down,4,40,0.725,3100.0,2255.0
2015-07-29,,Back,Deadlift,4,31,0.7325,4545.0,3233.0
2015-10-17,,Back,Dumbbell Row,3,30,0.75,1350.0,1011.0
2015-10-17,,Chest,Flat Dumbbell Bench Press,3,30,0.75,1500.0,1125.0
2015-10-17,,Chest,Incline Dumbbell Bench Press,3,30,0.7399999999999999,1050.0,777.0
2015-10-17,,Back,Lat Pulldown,3,30,0.73,3800.0,2777.0
2015-11-01,,Back,Dumbbell Row,3,30,0.75,1350.0,1011.0
2015-11-01,,Chest,Flat Dumbbell Bench Press,3,30,0.75,1500.0,1125.0
2015-12-22,,Chest,Flat Barbell Bench Press,5,25,0.8480000000000001,3825.0,3244.0
2015-12-22,,Chest,Flat Dumbbell Bench Press,7,65,0.6342857142857143,2070.0,1290.0
2015-12-22,,Chest,Flat Dumbbell Fly,4,48,0.6349999999999999,1500.0,955.0
2015-12-22,,Chest,Seated Machine Fly,5,53,0.614,4670.0,2783.0
2015-12-23,,Biceps,Barbell Curl,5,48,0.71,2400.0,1704.0
2015-12-23,,Back,Barbell Row,4,44,0.71,2860.0,2028.0
2015-12-26,,Back,Barbell Shrug,4,48,0.71,4560.0,3236.0
2015-12-26,,Triceps,Cable Overhead Triceps Extension,4,48,0.595,1080.0,652.0
2015-12-26,,Triceps,Close Grip Barbell Bench Press,4,48,0.675,4320.0,2922.0
2015-12-26,,Shoulders,Hammer Strength Shoulder Press,4,47,0.6649999999999999,2410.0,1605.0
2015-12-26,,Shoulders,Overhead Press,4,33,0.77,2805.0,2158.0
2015-12-28,,Legs,Barbell Squat,6,30,0.6916666666666668,3750.0,2700.0
2015-12-28,,Back,Deadlift,6,30,0.7583333333333333,4130.0,3232.0
2015-12-28,,Legs,Seated Calf Raise Machine,4,80,0.6,7200.0,4320.0
2015-12-30,,Chest,Flat Barbell Bench Press,5,28,0.818,4330.0,3510.0
2015-12-30,,Chest,Flat Dumbbell Bench Press,4,34,0.71,1420.0,998.0
2015-12-30,,Chest,Flat Dumbbell Fly,4,48,0.71,1680.0,1192.0
2015-12-30,,Chest,Seated Machine Fly,4,48,0.6325000000000001,4620.0,2927.0
